layer,head,patch_common_features_occ0_cls1,patch_count_occ0_cls1,cls_common_features_occ0_cls1,cls_count_occ0_cls1,patch_common_features_occ10_cls1,patch_count_occ10_cls1,cls_common_features_occ10_cls1,cls_count_occ10_cls1,patch_common_features_occ20_cls1,patch_count_occ20_cls1,cls_common_features_occ20_cls1,cls_count_occ20_cls1,patch_common_features_occ30_cls1,patch_count_occ30_cls1,cls_common_features_occ30_cls1,cls_count_occ30_cls1,patch_common_features_occ40_cls1,patch_count_occ40_cls1,cls_common_features_occ40_cls1,cls_count_occ40_cls1,patch_common_features_occ50_cls1,patch_count_occ50_cls1,cls_common_features_occ50_cls1,cls_count_occ50_cls1,patch_common_features_occ60_cls1,patch_count_occ60_cls1,cls_common_features_occ60_cls1,cls_count_occ60_cls1,patch_common_features_occ70_cls1,patch_count_occ70_cls1,cls_common_features_occ70_cls1,cls_count_occ70_cls1,patch_common_features_occ80_cls1,patch_count_occ80_cls1,cls_common_features_occ80_cls1,cls_count_occ80_cls1,patch_common_features_occ90_cls1,patch_count_occ90_cls1,cls_common_features_occ90_cls1,cls_count_occ90_cls1
2,4,"[7, 8, 24, 27, 29, 32, 35, 59]",8,"[4, 6, 7, 14, 24, 29, 34, 36, 42]",9,"[7, 8, 24, 27, 29, 32, 35, 59]",8,"[4, 6, 7, 14, 24, 29, 34, 36, 42]",9,"[7, 8, 24, 27, 29, 32, 35]",7,"[4, 6, 7, 14, 24, 29, 34, 36, 42, 59]",10,"[7, 8, 24, 27, 29, 32]",6,"[4, 6, 7, 14, 24, 29, 34, 36, 42, 59]",10,"[7, 8, 22, 24, 27, 28, 29, 32]",8,"[4, 6, 14, 24, 29, 34, 36, 42, 59]",9,"[6, 7, 22, 24, 27, 28, 29, 32]",8,"[4, 6, 14, 24, 29, 34, 36, 42, 59]",9,"[4, 6, 7, 22, 24, 27, 28, 32]",8,"[4, 6, 14, 24, 29, 34, 36, 42, 53, 59]",10,"[4, 6, 7, 18, 22, 24, 27, 28, 32]",9,"[4, 6, 14, 24, 29, 34, 36, 42, 53, 59]",10,"[6, 7, 18, 22, 24, 27, 28, 32]",8,"[4, 6, 14, 24, 29, 34, 36, 42, 53, 59]",10,"[4, 6, 7, 18, 22, 24, 27, 28, 32]",9,"[4, 6, 14, 24, 34, 36, 42, 56, 59]",9
2,5,"[2, 5, 28, 42, 45, 54]",6,"[2, 5, 28, 41, 42, 45, 54]",7,"[2, 5, 19, 28, 45, 54, 59]",7,"[2, 5, 7, 19, 26, 28, 40, 54, 59]",9,"[2, 5, 19, 26, 28, 45, 54, 59]",8,"[2, 5, 7, 19, 26, 28, 40, 54, 59]",9,"[2, 5, 26, 28, 45, 54, 59]",7,"[2, 5, 7, 26, 28, 32, 39, 54, 59]",9,"[2, 5, 26, 28, 32, 54, 59]",7,"[2, 5, 26, 28, 32, 39, 54, 59]",8,"[2, 5, 24, 26, 28, 32, 45, 54, 59]",9,"[2, 5, 24, 26, 28, 32, 39, 49, 54, 59]",10,"[2, 5, 24, 26, 28, 32, 39, 54, 59]",9,"[2, 5, 24, 26, 28, 32, 39, 54, 59]",9,"[2, 5, 15, 24, 28, 32, 39, 54, 59]",9,"[2, 5, 15, 24, 28, 32, 39, 54, 59]",9,"[2, 5, 15, 24, 32, 39, 54, 59]",8,"[2, 5, 15, 24, 32, 39, 54, 59]",8,"[2, 15, 24, 32, 39, 54, 59]",7,"[2, 15, 24, 32, 39, 52, 54, 59]",8
2,6,"[16, 33, 34, 37, 40, 54, 56]",7,"[16, 33, 34, 37, 40, 54, 56, 58]",8,"[16, 34, 37, 40, 54, 56]",6,"[12, 34, 37, 40, 54, 56, 58]",7,"[16, 34, 37, 40, 54, 56, 58]",7,"[12, 16, 34, 37, 40, 54, 56, 58]",8,"[16, 34, 37, 40, 50, 54, 56, 58, 61]",9,"[34, 37, 40, 50, 54, 56, 58]",7,"[16, 34, 37, 40, 50, 54, 56, 58, 61]",9,"[34, 37, 40, 44, 50, 54, 56, 58]",8,"[12, 16, 34, 37, 40, 44, 54, 56, 58, 61]",10,"[34, 37, 44, 50, 54, 56, 58]",7,"[1, 34, 37, 44, 50, 54, 56, 58, 61]",9,"[1, 18, 34, 37, 44, 50, 54, 56, 58]",9,"[6, 18, 34, 37, 44, 56, 58, 61]",8,"[1, 18, 37, 44, 50, 54, 56, 58]",8,"[1, 12, 16, 18, 37, 44, 56, 58, 61]",9,"[1, 6, 18, 37, 44, 50, 56, 58, 61]",9,"[1, 16, 23, 37, 44, 56, 58, 61]",8,"[1, 16, 23, 37, 44, 50, 56, 58, 61]",9
2,7,"[1, 15, 32, 48, 56, 58]",6,"[15, 19, 25, 32, 48, 58, 63]",7,"[1, 15, 32, 48, 56, 58, 63]",7,"[1, 14, 15, 19, 25, 26, 58]",7,"[1, 15, 31, 32, 42, 48, 56, 58]",8,"[1, 3, 15, 25, 48, 58]",6,"[1, 15, 31, 32, 42, 48, 56, 58]",8,"[1, 3, 14, 15, 25, 26, 48, 58]",8,"[1, 3, 15, 27, 31, 32, 42, 48, 56, 58]",10,"[1, 3, 14, 15, 23, 25, 58]",7,"[1, 3, 27, 31, 42, 48, 56, 58]",8,"[1, 3, 14, 15, 25, 58]",6,"[1, 3, 27, 42, 48, 56, 58]",7,"[1, 3, 14, 15, 23, 25, 58]",7,"[3, 11, 20, 27, 42, 48, 50, 56, 58]",9,"[1, 3, 14, 15, 21, 23, 25, 58]",8,"[3, 11, 14, 20, 27, 42, 48, 50, 56, 58]",10,"[1, 3, 14, 15, 21, 23, 25, 31, 58]",9,"[1, 3, 11, 14, 20, 27, 42, 48, 56, 58]",10,"[1, 3, 14, 23, 25, 31, 58]",7
2,8,"[4, 16, 23, 29, 41, 43, 44, 46, 49]",9,"[4, 16, 23, 29, 41, 43, 44, 46, 49]",9,"[4, 23, 43, 44, 46, 49]",6,"[4, 23, 43, 44, 46, 49]",6,"[4, 33, 46, 48, 49, 56]",6,"[4, 34, 46, 48, 49]",5,"[4, 20, 26, 34, 43, 48, 49]",7,"[4, 26, 34, 48]",4,"[4, 20, 26, 33, 34, 35, 48, 49]",8,"[4, 26, 34, 48]",4,"[4, 20, 26, 34, 35, 48]",6,"[4, 17, 26, 34, 35, 48]",6,"[4, 14, 17, 26, 34, 35, 48, 49]",8,"[4, 16, 17, 26, 34, 35, 48]",7,"[4, 14, 17, 20, 25, 26, 34, 35, 48]",9,"[4, 17, 25, 26, 34, 35, 48]",7,"[4, 14, 17, 20, 25, 26, 34, 35, 48]",9,"[4, 17, 25, 26, 34, 35, 48, 58]",8,"[4, 14, 17, 25, 26, 34, 35, 48]",8,"[4, 17, 25, 26, 34, 35, 48, 58]",8
2,9,"[20, 26, 27, 42, 56, 58]",6,"[3, 10, 20, 32, 56, 58]",6,"[20, 26, 27, 42, 56, 58]",6,"[3, 10, 20, 32, 56, 58]",6,"[20, 26, 27, 42, 56, 58]",6,"[10, 20, 32, 36, 56]",5,"[20, 26, 27, 42, 56, 58]",6,"[10, 20, 32, 36, 56, 58]",6,"[20, 22, 27, 36, 42, 50, 58, 62]",8,"[10, 20, 32, 36, 56, 58]",6,"[20, 22, 27, 36, 40, 42, 50, 58, 62]",9,"[10, 20, 32, 36, 42, 58]",6,"[20, 22, 27, 36, 40, 42, 50, 52, 58, 62]",10,"[10, 20, 32, 36]",4,"[20, 22, 27, 36, 40, 42, 44, 50, 58, 62]",10,"[10, 11, 20, 27, 32, 36]",6,"[20, 27, 36, 40, 42, 44, 52, 58, 61, 62]",10,"[10, 20, 27, 30, 32, 36, 42, 47, 57]",9,"[20, 27, 36, 40, 42, 44, 58, 61, 62]",9,"[10, 20, 21, 27, 32, 36, 42, 57]",8
2,10,"[2, 4, 15, 20, 28, 36, 43, 51]",8,"[2, 4, 15, 28, 36, 51]",6,"[2, 4, 15, 28, 36, 43, 51]",7,"[2, 4, 28, 36, 51]",5,"[2, 4, 28, 36, 43, 51]",6,"[2, 4, 28, 36, 39, 51]",6,"[2, 4, 28, 36, 39, 43, 51]",7,"[2, 4, 28, 36, 39, 43, 51]",7,"[4, 15, 28, 36, 39, 43, 51]",7,"[2, 4, 28, 36, 39, 43, 59]",7,"[4, 15, 28, 36, 39, 49, 51]",7,"[2, 4, 28, 36, 39, 59]",6,"[4, 15, 28, 36, 39, 49, 51, 54]",8,"[2, 4, 28, 36, 39, 43, 59]",7,"[4, 15, 28, 36, 39, 43, 49, 51, 54]",9,"[2, 4, 28, 36, 39, 43, 59]",7,"[4, 15, 19, 28, 36, 39, 43, 49, 51, 54]",10,"[2, 20, 28, 36, 39, 43, 59, 61]",8,"[6, 15, 19, 28, 39, 43, 49, 51, 54]",9,"[2, 28, 36, 39, 43, 59, 61]",7
2,11,"[8, 10, 40, 53]",4,"[8, 35, 40, 53, 58]",5,"[1, 8, 26, 30, 44, 53]",6,"[1, 26, 30, 35, 39, 40, 53]",7,"[1, 8, 12, 26, 30, 53]",6,"[1, 5, 8, 26, 35, 40, 53]",7,"[1, 8, 12, 22, 26, 39, 53]",7,"[1, 5, 8, 26, 35, 39, 40, 53]",8,"[8, 12, 15, 30, 39, 53, 59]",7,"[1, 5, 8, 39, 40, 53]",6,"[5, 8, 12, 15, 35, 39, 53, 54, 59]",9,"[1, 5, 8, 39]",4,"[8, 9, 12, 15, 35, 53, 54, 59]",8,"[5, 8, 39, 40, 59]",5,"[5, 8, 12, 15, 35, 41, 54, 59]",8,"[5, 8, 14, 35, 39, 59]",6,"[5, 8, 9, 12, 15, 35, 41, 54, 59]",9,"[2, 5, 8, 20, 39, 51, 59]",7,"[8, 9, 12, 15, 35, 41, 42, 54, 59]",9,"[2, 5, 8, 20, 39, 59]",6
3,0,"[1, 12, 24, 37, 41, 42, 49, 52, 58]",9,"[2, 15, 18, 20, 41, 45, 47, 49]",8,"[9, 24, 42, 49, 52, 58]",6,"[15, 18, 41, 45, 47, 49]",6,"[9, 24, 32, 42, 49, 58]",6,"[2, 15, 18, 43, 45, 47, 49]",7,"[1, 9, 15, 18, 24, 32, 42, 46, 58]",9,"[1, 15, 18, 43, 45, 47, 49]",7,"[1, 9, 15, 24, 28, 32, 46, 58]",8,"[1, 2, 9, 15, 17, 18, 43, 45]",8,"[9, 15, 24, 32, 34, 46, 58]",7,"[9, 15, 17, 18, 43, 46, 47, 53]",8,"[9, 15, 16, 24, 32, 34, 46]",7,"[9, 15, 17, 18, 43, 46, 47, 53]",8,"[9, 10, 15, 16, 24, 34, 46, 63]",8,"[9, 15, 17, 18, 43, 46, 47, 53]",8,"[9, 10, 13, 15, 16, 34, 46, 63]",8,"[9, 13, 15, 17, 43, 46, 53]",7,"[9, 10, 11, 14, 15, 16, 26, 46, 48]",9,"[1, 9, 15, 17, 18, 43, 46, 53]",8
3,1,"[14, 16, 45, 48, 49, 51, 63]",7,"[14, 18, 42, 45, 51, 63]",6,"[16, 45, 48, 49, 51, 63]",6,"[14, 16, 42, 45, 49, 51]",6,"[16, 45, 48, 49, 51, 63]",6,"[16, 42, 43, 49, 51]",5,"[16, 42, 45, 48, 49, 51]",6,"[16, 37, 42, 43, 49, 51, 59]",7,"[16, 37, 42, 48, 49, 51]",6,"[4, 16, 37, 42, 43, 49, 51, 55]",8,"[16, 37, 42, 48, 49, 51, 53]",7,"[4, 7, 16, 37, 42, 43, 49, 51]",8,"[7, 16, 37, 42, 43, 49, 51, 53]",8,"[4, 7, 16, 37, 42, 43, 49, 51, 53]",9,"[7, 16, 37, 42, 43, 49, 51, 53]",8,"[4, 7, 16, 37, 42, 49, 51, 53, 55]",9,"[4, 7, 16, 37, 42, 43, 49, 50, 51, 53]",10,"[4, 7, 16, 37, 42, 49, 51, 55]",8,"[4, 7, 16, 37, 42, 49, 50, 51, 53]",9,"[4, 7, 16, 37, 42, 49, 50, 51, 55, 59]",10
