,,CLASS 1 (clean images),,,,OCCLUSION 0,,,,OCCLUSION 10,,,,OCCLUSION 20,,,,OCCLUSION 30,,,,OCCLUSION 40,,,,OCCLUSION 50,,,,OCCLUSION 60,,,,OCCLUSION 70,,,,OCCLUSION 80,,,,OCCLUSION 90,,,
layer,head,patch_common_features_cls1,patch_count_cls1,cls_common_features_cls1,cls_count_cls1,patch_common_features,patch_count_,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count
0,9,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 59, 63]",7,"[2, 12, 17, 36, 39, 43, 63]",7,"[2, 12, 17, 36, 39, 59, 63]",7,"[2, 12, 17, 36, 39, 43]",6,"[2, 12, 17, 36, 39, 43, 59]",7,"[2, 12, 17, 36, 39, 59]",6,"[2, 12, 17, 36, 39, 59]",6,"[2, 12, 17, 36, 39]",5,"[2, 12, 17, 36, 39]",5,"[2, 12, 17, 36, 39]",5,"[2, 12, 17, 36, 39]",5,"[2, 12, 17, 36, 39]",5,"[2, 12, 17, 36, 39]",5
0,10,"[11, 15, 29, 33, 36, 49]",6,"[11, 15, 29, 33, 36, 49, 59]",7,"[11, 15, 29, 33, 36, 49]",6,"[11, 15, 29, 33, 36, 49, 59]",7,"[11, 15, 29, 33, 36, 49]",6,"[11, 15, 29, 33, 36, 49, 59]",7,"[11, 15, 29, 33, 36, 49]",6,"[11, 15, 29, 33, 36, 49, 59]",7,"[11, 15, 29, 33, 36, 49]",6,"[11, 15, 36, 49, 59]",5,"[11, 15, 36, 49]",4,"[11, 15, 36, 49]",4,"[11, 15, 36]",3,"[11, 15, 36, 49, 59]",5,"[11, 15, 36]",3,"[11, 15, 36, 49]",4,"[11, 15, 36]",3,"[11, 15, 36, 49]",4,"[11, 15, 36]",3,"[11, 15, 36]",3,"[11, 15, 36]",3,"[11, 15, 36]",3
0,11,"[0, 9, 40]",3,"[0, 9, 40, 44, 63]",5,"[0, 9, 40]",3,"[0, 9, 40, 44, 63]",5,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4
1,0,"[7, 10, 25, 26, 42, 44, 48, 50, 59]",9,"[7, 10, 20, 25, 26, 42, 44, 48, 59]",9,"[7, 10, 25, 26, 42, 44, 48, 50, 59]",9,"[7, 10, 20, 25, 26, 42, 44, 48, 59]",9,"[7, 10, 25, 26, 42, 44, 48, 50, 59]",9,"[10, 42, 44]",3,"[7, 10, 25, 26, 42, 44, 48, 50, 59]",9,[44],1,"[7, 10, 25, 26, 42, 44]",6,[44],1,"[7, 10, 42, 44]",4,"[7, 44]",2,"[7, 10, 42, 44]",4,"[7, 44]",2,"[7, 44]",2,"[7, 44]",2,"[7, 44]",2,"[7, 20, 44]",3,"[7, 44]",2,"[7, 20, 44]",3,"[7, 44]",2,"[7, 20, 44]",3
1,1,"[4, 8, 26, 40, 42, 48, 62]",7,"[4, 8, 26, 40, 42, 48, 62]",7,"[4, 8, 26, 40, 42, 48, 62]",7,"[4, 8, 26, 40, 42, 48, 62]",7,"[4, 8, 40, 42, 48]",5,"[4, 8, 26, 40, 42, 48, 62]",7,"[4, 8, 40, 48, 62]",5,"[4, 8, 40, 48, 62]",5,"[4, 8, 40, 48, 62]",5,"[4, 8, 40, 48, 62]",5,"[4, 8, 40, 42, 48]",5,"[4, 40, 48, 62]",4,"[4, 8, 40, 42, 48]",5,"[4, 40, 42, 48, 62]",5,"[4, 40, 48, 62]",4,"[4, 40, 48, 62]",4,"[4, 40, 48, 62]",4,"[4, 40, 42, 48]",4,"[40, 48, 62]",3,"[40, 42]",2,"[40, 48]",2,[42],1
1,2,"[1, 3, 8, 13, 28, 39, 50, 57, 59]",9,"[8, 27, 39, 44, 50, 59, 63]",7,"[1, 3, 8, 13, 28, 39, 50, 57, 59]",9,"[8, 27, 39, 44, 50, 59, 63]",7,"[3, 8, 28, 39, 50, 57, 59]",7,"[8, 27, 39, 50, 59, 63]",6,"[3, 8, 28, 39, 59]",5,"[8, 27, 39, 59, 63]",5,"[3, 8, 28, 39, 59]",5,"[8, 27, 39, 59, 63]",5,"[3, 8, 39, 59]",4,"[8, 27, 39, 59, 63]",5,"[3, 8, 39, 59]",4,"[8, 27, 39, 59, 63]",5,"[8, 39, 59]",3,"[8, 27, 39]",3,"[8, 39, 59]",3,"[8, 27, 39]",3,"[39, 59]",2,"[27, 39]",2,"[39, 59]",2,"[27, 39]",2
1,3,"[3, 10, 22, 44, 58]",5,"[3, 22, 44]",3,"[3, 10, 22, 44, 58]",5,"[3, 22, 44]",3,"[3, 10, 22, 44]",4,"[22, 44]",2,"[3, 10, 22, 44]",4,"[22, 44]",2,"[22, 44]",2,[44],1,"[10, 44]",2,[44],1,"[10, 44]",2,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1
1,4,"[20, 24, 29, 35, 38, 39, 51, 59, 63]",9,"[20, 24, 35, 38, 39, 51, 63]",7,"[20, 24, 29, 35, 38, 39, 51, 59, 63]",9,"[20, 24, 35, 38, 39, 51, 63]",7,"[20, 24, 35, 38, 39, 51, 63]",7,"[20, 24, 35, 38, 39, 51, 63]",7,"[20, 24, 35, 38, 39, 51, 63]",7,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39]",4,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39]",4,"[20, 24, 35, 39]",4,"[20, 24, 35, 39]",4,"[20, 24, 35, 39]",4,"[20, 24, 35, 39]",4,"[20, 24, 35, 39]",4,"[20, 24, 35, 39]",4,"[20, 24, 35, 39]",4,"[20, 24, 35, 39]",4,"[20, 24, 35, 39]",4,"[20, 24, 35, 39]",4,"[20, 24, 35, 39]",4
1,5,"[1, 5, 10, 17, 23, 34, 41, 50]",8,"[0, 1, 10, 23, 25, 27, 31, 41]",8,"[1, 5, 10, 17, 23, 34, 41, 50]",8,"[0, 1, 10, 23, 25, 27, 31, 41]",8,"[1, 5, 10, 17, 23, 34, 41]",7,"[0, 1, 10, 23, 25, 27, 31, 41]",8,"[1, 5, 10, 17, 23, 34, 41]",7,"[0, 1, 10, 23, 25, 27, 31, 41]",8,"[1, 5, 10, 17, 34, 41]",6,"[0, 1, 10, 23, 25, 27, 31, 41]",8,"[1, 5, 10, 17, 34, 41]",6,"[0, 1, 10, 23, 25, 27, 31, 41]",8,"[1, 5, 17, 34]",4,"[0, 1, 10, 23, 25, 27, 31, 41]",8,"[1, 5, 17, 34]",4,"[0, 1, 10, 23, 25, 27, 31, 41]",8,"[5, 34]",2,"[0, 1, 10, 23, 25, 27, 31, 41]",8,"[5, 34]",2,"[0, 1, 10, 23, 25, 27, 31, 41]",8,[5],1,"[0, 1, 10, 23, 25, 27, 31, 41]",8
1,6,"[18, 21, 22, 37, 45, 47, 57, 59]",8,"[16, 18, 21, 22, 37, 45, 47, 57, 59]",9,"[18, 21, 22, 37, 45, 47, 57, 59]",8,"[16, 18, 21, 22, 37, 45, 47, 57, 59]",9,"[18, 21, 22, 37, 45, 47, 57, 59]",8,"[18, 21, 22, 37, 45, 47, 57, 59]",8,"[18, 21, 22, 37, 45, 47, 57]",7,"[18, 21, 22, 37, 45, 47, 57]",7,"[18, 21, 22, 37, 45, 47, 57]",7,"[18, 21, 22, 37, 47, 57]",6,"[18, 21, 22, 37, 45, 47, 57]",7,"[18, 22, 37, 45, 47, 57]",6,"[18, 22, 37, 45, 47, 57]",6,"[18, 22, 37, 45, 47, 57]",6,"[18, 22, 37, 45, 47, 57]",6,"[18, 22, 37, 45, 47, 57]",6,"[18, 22, 37, 45, 47, 57]",6,"[18, 22, 37, 45, 47, 57]",6,"[18, 22, 37, 45, 47, 57]",6,"[18, 22, 37, 47, 57]",5,"[18, 22, 37, 45, 47, 57]",6,"[18, 22, 37, 47, 57]",5
