,,CLASS 1 (clean images),,,,OCCLUSION 0,,,,OCCLUSION 10,,,,OCCLUSION 20,,,,OCCLUSION 30,,,,OCCLUSION 40,,,,OCCLUSION 50,,,,OCCLUSION 60,,,,OCCLUSION 70,,,,OCCLUSION 80,,,,OCCLUSION 90,,,
layer,head,patch_common_features_cls1,patch_count_cls1,cls_common_features_cls1,cls_count_cls1,patch_common_features,patch_count_,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count
1,7,"[16, 20, 34, 38, 54, 57]",6,"[2, 8, 16, 20, 34, 38, 39, 42, 44]",9,"[16, 20, 34, 38, 54, 57]",6,"[2, 8, 16, 20, 34, 38, 39, 42, 44]",9,"[16, 20, 34, 38, 54, 57]",6,"[2, 8, 16, 20, 34, 39, 44]",7,"[20, 34, 38, 57]",4,"[2, 8, 16, 20, 34, 38, 39]",7,"[20, 34, 38, 57]",4,"[2, 8, 16, 20, 34, 39]",6,"[20, 34, 57]",3,"[2, 8, 16, 34]",4,[57],1,"[2, 34, 38]",3,[57],1,[2],1,[57],1,"[2, 42]",2,[57],1,[2],1,[57],1,[2],1
1,8,"[5, 19, 22, 30, 33, 34, 61]",7,"[5, 19, 30, 33, 34, 49, 57, 61]",8,"[5, 19, 22, 30, 33, 34, 61]",7,"[5, 19, 30, 33, 34, 49, 57, 61]",8,"[5, 19, 30, 33, 34, 61]",6,"[5, 19, 30, 33, 34, 49, 57, 61]",8,"[5, 19, 30, 33, 34, 61]",6,"[5, 30, 33, 34, 57]",5,"[5, 19, 30, 33, 34, 61]",6,"[5, 30, 33, 34]",4,"[5, 19, 30, 33, 34, 61]",6,"[5, 30, 34]",3,"[5, 30, 33, 34]",4,"[5, 30, 34]",3,"[5, 30, 33, 34]",4,"[5, 30, 34]",3,"[5, 30, 33, 34]",4,"[5, 30, 34]",3,"[5, 30, 33, 34]",4,"[5, 34]",2,"[5, 30, 33, 34]",4,"[5, 33, 34]",3
1,9,"[10, 15, 27, 28, 35, 52, 56]",7,"[3, 10, 15, 27, 28, 52, 56]",7,"[10, 15, 27, 28, 35, 52, 56]",7,"[3, 10, 15, 27, 28, 52, 56]",7,"[10, 15, 27, 28, 35, 52, 56]",7,"[3, 10, 15, 27, 28, 52, 56]",7,"[10, 15, 27, 28, 35, 52, 56]",7,"[3, 10, 15, 27, 28, 52, 56]",7,"[10, 15, 27, 28, 35, 52, 56]",7,"[10, 15, 28, 52, 56]",5,"[10, 15, 27, 28, 52, 56]",6,"[10, 15, 27, 28, 52, 56]",6,"[10, 15, 27, 28, 52, 56]",6,"[10, 52, 56]",3,"[10, 15, 52, 56]",4,"[10, 52, 56]",3,"[52, 56]",2,"[52, 56]",2,[56],1,[56],1,[],0,[],0
1,10,"[15, 21, 24, 44, 61, 63]",6,"[6, 12, 15, 20, 21, 24, 44, 47, 61]",9,"[15, 21, 24, 44, 61, 63]",6,"[6, 12, 15, 20, 21, 24, 44, 47, 61]",9,"[15, 21, 24, 44, 61, 63]",6,"[6, 12, 15, 20, 21, 24, 44, 47, 61]",9,"[15, 21, 24, 44, 61]",5,"[6, 12, 15, 20, 21, 24, 44, 61]",8,"[15, 21, 24, 44, 61]",5,"[12, 15, 20, 21, 24, 44, 61]",7,"[15, 21, 24, 44, 61]",5,"[12, 15, 20, 21, 24, 44, 61]",7,"[15, 21, 24, 44, 61]",5,"[12, 20, 21, 24, 44, 61]",6,"[15, 21, 24, 44, 61]",5,"[12, 20, 21, 24, 44, 61]",6,"[15, 44, 61]",3,"[12, 20, 21, 44, 61]",5,"[15, 61]",2,"[12, 20, 44, 61]",4,"[15, 61]",2,"[12, 20, 44, 61]",4
1,11,"[2, 6, 13, 15, 21, 33, 52]",7,"[2, 7, 13, 15, 18, 21, 48, 52, 54]",9,"[2, 6, 13, 15, 21, 33, 52]",7,"[2, 7, 13, 15, 18, 21, 48, 52, 54]",9,"[2, 13, 15, 21, 33, 52]",6,"[2, 7, 13, 15, 18, 21, 48, 52]",8,"[2, 13, 15, 21, 33, 52]",6,"[2, 7, 13, 15, 18, 21, 48, 52]",8,"[2, 13, 15, 21, 33, 52]",6,"[2, 7, 13, 15, 18, 21, 48, 52]",8,"[2, 13, 15, 21, 33, 52]",6,"[2, 7, 13, 15, 18, 21, 48]",7,"[2, 13, 15, 21, 33, 52]",6,"[2, 7, 13, 15, 18, 48]",6,"[2, 13, 33]",3,"[2, 7, 13, 18, 48]",5,"[2, 13, 33]",3,"[7, 13, 18, 48]",4,"[13, 33]",2,"[7, 13, 18, 48]",4,"[13, 33]",2,"[7, 13, 18, 48]",4
2,0,"[23, 26, 30, 40, 41, 45, 56, 57, 59]",9,"[12, 26, 30, 41, 45, 56, 57, 59]",8,"[23, 26, 30, 40, 41, 45, 56, 57, 59]",9,"[12, 26, 30, 41, 45, 56, 57, 59]",8,"[23, 30, 41, 45, 56, 57, 59]",7,"[12, 30, 41, 45, 56, 57, 59]",7,"[23, 30, 41, 45, 57, 59]",6,"[12, 30, 41, 45, 57, 59]",6,"[30, 41, 45, 57, 59]",5,"[12, 30, 41, 45, 57, 59]",6,"[23, 30, 41, 45, 57, 59]",6,"[30, 41, 45, 57, 59]",5,"[23, 30, 41, 45, 57, 59]",6,"[30, 41, 45, 57, 59]",5,"[30, 41, 45, 57]",4,"[30, 41, 45, 57]",4,"[23, 30, 41, 45, 57]",5,"[30, 41, 45, 57]",4,"[30, 41, 45, 57]",4,"[30, 41, 45, 57]",4,"[30, 41, 45, 57]",4,"[30, 41, 45, 57]",4
2,1,"[10, 15, 29, 35, 51, 55, 59]",7,"[10, 15, 29, 35, 51, 55, 59]",7,"[10, 15, 29, 35, 51, 55, 59]",7,"[10, 15, 29, 35, 51, 55, 59]",7,"[15, 29, 35, 51, 55]",5,"[10, 15, 29, 35, 51, 55]",6,"[29, 35, 51, 55]",4,"[29, 35, 51, 55]",4,"[29, 35, 51, 55]",4,"[29, 35, 51, 55]",4,"[29, 35, 51, 55]",4,"[29, 35, 51, 55]",4,"[29, 35, 51, 55]",4,"[29, 35, 51, 55]",4,"[35, 51, 55]",3,"[35, 51, 55]",3,"[35, 51, 55]",3,"[35, 51, 55]",3,"[35, 51, 55]",3,"[35, 51, 55]",3,"[35, 51, 55]",3,"[35, 51, 55]",3
2,2,"[3, 11, 18, 26, 27, 28, 29, 33, 34, 37]",10,"[3, 11, 26, 28, 29, 35, 60]",7,"[3, 11, 18, 26, 27, 28, 29, 33, 34, 37]",10,"[3, 11, 26, 28, 29, 35, 60]",7,"[3, 18, 26, 27, 28, 29, 33, 34, 37]",9,"[3, 11, 26, 28, 29, 35, 60]",7,"[3, 18, 26, 27, 28, 29, 33, 34, 37]",9,"[11, 26, 28, 29, 35, 60]",6,"[3, 26, 27, 28, 29, 33, 34, 37]",8,"[11, 26, 28, 29, 60]",5,"[26, 27, 29, 33, 34, 37]",6,"[11, 26, 28, 29, 60]",5,"[26, 27, 29, 33, 34, 37]",6,"[11, 26, 28, 29, 60]",5,"[26, 27, 29, 34, 37]",5,"[11, 26, 28, 29, 60]",5,"[26, 27, 29, 34, 37]",5,"[11, 26, 28, 29, 60]",5,"[26, 27, 29, 37]",4,"[11, 26, 28, 29, 60]",5,"[26, 27, 29, 37]",4,"[11, 28, 29, 60]",4
2,3,"[5, 41, 44, 45, 53, 61]",6,"[5, 45, 53, 58, 61]",5,"[5, 41, 44, 45, 53, 61]",6,"[5, 45, 53, 58, 61]",5,"[5, 41, 44, 45, 53, 61]",6,"[5, 53, 58]",3,"[5, 44, 45, 53]",4,"[5, 53, 58]",3,"[5, 53]",2,"[5, 53, 58]",3,"[5, 53]",2,"[5, 58]",2,"[5, 53]",2,"[5, 58]",2,"[5, 53]",2,"[5, 58]",2,[5],1,[],0,[5],1,[],0,[5],1,[],0
2,4,"[7, 8, 24, 27, 29, 32, 35, 42, 59]",9,"[4, 6, 7, 14, 24, 29, 34, 36, 42]",9,"[7, 8, 24, 27, 29, 32, 35, 42, 59]",9,"[4, 6, 7, 14, 24, 29, 34, 36, 42]",9,"[7, 8, 24, 27, 29, 32, 35, 59]",8,"[4, 6, 7, 14, 24, 29, 34, 36, 42]",9,"[7, 8, 24, 27, 29, 32, 35]",7,"[4, 6, 7, 14, 24, 29, 34, 36, 42]",9,"[7, 8, 24, 27, 29, 32, 35]",7,"[4, 6, 7, 14, 24, 29, 34, 36, 42]",9,"[7, 8, 24, 27, 29, 32, 35]",7,"[4, 6, 14, 24, 29, 34, 36, 42]",8,"[7, 24, 27, 29, 32]",5,"[4, 6, 14, 24, 29, 34, 36, 42]",8,"[7, 24, 27, 32]",4,"[4, 6, 14, 24, 29, 34, 36, 42]",8,"[7, 24, 27, 32]",4,"[4, 6, 14, 24, 29, 34, 36, 42]",8,"[7, 24, 27, 32]",4,"[4, 6, 14, 24, 29, 34, 36, 42]",8,"[7, 24, 27, 32]",4,"[4, 6, 14, 24, 34, 36, 42]",7
2,5,"[2, 28, 42, 45, 54]",5,"[2, 28, 41, 42, 45, 54]",6,"[2, 28, 42, 45, 54]",5,"[2, 28, 41, 42, 45, 54]",6,"[2, 28, 45, 54]",4,"[2, 28, 54]",3,"[2, 28, 45, 54]",4,"[2, 28, 54]",3,"[2, 28, 45, 54]",4,"[2, 28, 54]",3,"[2, 28, 54]",3,"[2, 28, 54]",3,"[2, 28, 45, 54]",4,"[2, 28, 54]",3,"[2, 28, 45, 54]",4,"[2, 28, 54]",3,"[2, 28, 54]",3,"[2, 28, 54]",3,"[2, 54]",2,"[2, 54]",2,"[2, 54]",2,"[2, 54]",2
2,6,"[16, 33, 34, 37, 40, 54, 56]",7,"[16, 33, 34, 37, 40, 54, 56, 58]",8,"[16, 33, 34, 37, 40, 54, 56]",7,"[16, 33, 34, 37, 40, 54, 56, 58]",8,"[16, 34, 37, 40, 54, 56]",6,"[34, 37, 40, 54, 56, 58]",6,"[16, 34, 37, 40, 54, 56]",6,"[16, 34, 37, 40, 54, 56, 58]",7,"[16, 34, 37, 40, 54, 56]",6,"[34, 37, 40, 54, 56, 58]",6,"[16, 34, 37, 40, 54, 56]",6,"[34, 37, 40, 54, 56, 58]",6,"[16, 34, 37, 40, 54, 56]",6,"[34, 37, 54, 56, 58]",5,"[34, 37, 54, 56]",4,"[34, 37, 54, 56, 58]",5,"[34, 37, 56]",3,"[37, 54, 56, 58]",4,"[16, 37, 56]",3,"[37, 56, 58]",3,"[16, 37, 56]",3,"[16, 37, 56, 58]",4
2,7,"[1, 15, 32, 48, 56, 58]",6,"[15, 19, 25, 32, 48, 58, 63]",7,"[1, 15, 32, 48, 56, 58]",6,"[15, 19, 25, 32, 48, 58, 63]",7,"[1, 15, 32, 48, 56, 58]",6,"[15, 19, 25, 58]",4,"[1, 15, 32, 48, 56, 58]",6,"[15, 25, 48, 58]",4,"[1, 15, 32, 48, 56, 58]",6,"[15, 25, 48, 58]",4,"[1, 15, 32, 48, 56, 58]",6,"[15, 25, 58]",3,"[1, 48, 56, 58]",4,"[15, 25, 58]",3,"[1, 48, 56, 58]",4,"[15, 25, 58]",3,"[48, 56, 58]",3,"[15, 25, 58]",3,"[48, 56, 58]",3,"[15, 25, 58]",3,"[48, 56, 58]",3,"[25, 58]",2
2,8,"[4, 16, 23, 29, 41, 43, 44, 46, 49]",9,"[4, 16, 23, 29, 41, 43, 44, 46, 49]",9,"[4, 16, 23, 29, 41, 43, 44, 46, 49]",9,"[4, 16, 23, 29, 41, 43, 44, 46, 49]",9,"[4, 23, 43, 44, 46, 49]",6,"[4, 23, 43, 44, 46, 49]",6,"[4, 23, 43, 44, 46, 49]",6,"[4, 46, 49]",3,"[4, 23, 43, 44, 46, 49]",6,[4],1,"[4, 44, 46, 49]",4,[4],1,"[4, 49]",2,[4],1,"[4, 49]",2,"[4, 16]",2,[4],1,[4],1,[4],1,[4],1,[4],1,[4],1
2,9,"[20, 26, 27, 42, 56, 58]",6,"[3, 10, 20, 32, 56, 58]",6,"[20, 26, 27, 42, 56, 58]",6,"[3, 10, 20, 32, 56, 58]",6,"[20, 26, 27, 42, 56, 58]",6,"[3, 10, 20, 32, 56, 58]",6,"[20, 26, 27, 42, 56, 58]",6,"[10, 20, 32, 56]",4,"[20, 26, 27, 42, 56, 58]",6,"[10, 20, 32, 56, 58]",5,"[20, 26, 27, 42, 56, 58]",6,"[10, 20, 32, 56, 58]",5,"[20, 26, 27, 42, 56, 58]",6,"[10, 20, 32, 58]",4,"[20, 27, 42, 58]",4,"[10, 20, 32]",3,"[20, 27, 42, 58]",4,"[10, 20, 32]",3,"[20, 27, 42, 58]",4,"[10, 20, 32]",3,"[20, 27, 42, 58]",4,"[10, 20, 32]",3
2,10,"[2, 4, 15, 20, 28, 36, 51]",7,"[2, 4, 15, 28, 36, 51]",6,"[2, 4, 15, 20, 28, 36, 51]",7,"[2, 4, 15, 28, 36, 51]",6,"[2, 4, 15, 28, 36, 51]",6,"[2, 4, 28, 36, 51]",5,"[2, 4, 28, 36, 51]",5,"[2, 4, 28, 36, 51]",5,"[2, 4, 28, 36, 51]",5,"[2, 4, 28, 36, 51]",5,"[4, 15, 28, 36, 51]",5,"[2, 4, 28, 36]",4,"[4, 15, 28, 36, 51]",5,"[2, 4, 28, 36]",4,"[4, 15, 28, 36, 51]",5,"[2, 4, 28, 36]",4,"[4, 15, 28, 36, 51]",5,"[2, 4, 28, 36]",4,"[4, 15, 28, 36, 51]",5,"[2, 28, 36]",3,"[15, 28, 51]",3,"[2, 28, 36]",3
2,11,"[8, 10, 30, 40, 53]",5,"[8, 30, 35, 40, 53, 58]",6,"[8, 10, 30, 40, 53]",5,"[8, 30, 35, 40, 53, 58]",6,"[8, 10, 30, 40, 53]",5,"[30, 35, 40, 53]",4,"[8, 30, 53]",3,"[8, 35, 40, 53]",4,"[8, 30, 53]",3,"[8, 35, 40, 53]",4,"[8, 30, 53]",3,"[8, 40, 53]",3,"[8, 30, 53]",3,[8],1,"[8, 53]",2,"[8, 40]",2,[8],1,"[8, 35]",2,[8],1,[8],1,[8],1,[8],1
3,0,"[1, 12, 24, 37, 41, 42, 49, 52, 58]",9,"[2, 15, 18, 20, 41, 45, 47, 49]",8,"[1, 12, 24, 37, 41, 42, 49, 52, 58]",9,"[2, 15, 18, 20, 41, 45, 47, 49]",8,"[24, 37, 41, 42, 49, 52, 58]",7,"[15, 18, 41, 45, 47, 49]",6,"[24, 42, 49, 52, 58]",5,"[2, 15, 18, 45, 47, 49]",6,"[24, 42, 49, 52, 58]",5,"[15, 18, 45, 47, 49]",5,"[1, 24, 42, 58]",4,"[2, 15, 18, 45]",4,"[24, 58]",2,"[15, 18, 47]",3,[24],1,"[15, 18, 47]",3,[24],1,"[15, 18, 47]",3,[],0,[15],1,[],0,"[15, 18]",2
3,1,"[14, 18, 28, 45, 48, 51, 63]",7,"[14, 18, 42, 45, 51, 63]",6,"[14, 18, 28, 45, 48, 51, 63]",7,"[14, 18, 42, 45, 51, 63]",6,"[14, 18, 28, 45, 48, 51, 63]",7,"[14, 42, 45, 51]",4,"[45, 48, 51, 63]",4,"[42, 51]",2,"[45, 48, 51, 63]",4,"[42, 51]",2,"[45, 48, 51, 63]",4,"[42, 51]",2,"[48, 51]",2,"[42, 51]",2,[51],1,"[42, 51]",2,[51],1,"[42, 51]",2,[51],1,"[42, 51]",2,[51],1,"[42, 51]",2
3,2,"[1, 3, 4, 16, 29, 38, 53]",7,"[1, 3, 4, 16, 29, 38, 53]",7,"[1, 3, 4, 16, 29, 38, 53]",7,"[1, 3, 4, 16, 29, 38, 53]",7,"[1, 4, 16, 29, 38]",5,"[1, 4, 16, 29, 38, 53]",6,"[1, 4, 16, 29, 53]",5,"[1, 4, 16, 29, 53]",5,"[1, 4, 16, 29, 53]",5,"[1, 4, 29, 53]",4,"[1, 4, 16, 29, 53]",5,"[1, 4, 29, 53]",4,"[1, 4, 16, 29, 53]",5,"[1, 4, 29, 53]",4,"[1, 4, 29, 53]",4,"[1, 4, 29, 53]",4,"[1, 4, 53]",3,"[1, 4, 53]",3,"[1, 4, 53]",3,"[4, 53]",2,"[4, 53]",2,"[4, 53]",2
3,3,"[57, 62]",2,"[23, 30, 31, 35, 36, 37, 42, 60, 62]",9,"[57, 62]",2,"[23, 30, 31, 35, 36, 37, 42, 60, 62]",9,"[57, 62]",2,"[30, 31, 36, 37, 42, 60, 62]",7,"[57, 62]",2,"[30, 31, 36, 37, 42, 60, 62]",7,"[57, 62]",2,"[30, 31, 36, 37, 42, 60, 62]",7,"[57, 62]",2,"[30, 31, 36, 37, 42, 60]",6,[57],1,"[30, 31, 36, 37, 42, 60]",6,[57],1,"[30, 31, 36, 37, 42, 60]",6,[57],1,"[30, 36, 37, 42, 60]",5,[57],1,"[30, 36, 37, 42, 60]",5,[57],1,"[30, 37, 60]",3
3,4,"[15, 19, 23, 45, 58]",5,"[14, 15, 24, 32, 45, 51]",6,"[15, 19, 23, 45, 58]",5,"[14, 15, 24, 32, 45, 51]",6,"[15, 19, 23, 45, 58]",5,"[14, 15, 24, 32, 45, 51]",6,"[19, 45, 58]",3,"[14, 15, 24, 32, 45]",5,"[19, 45, 58]",3,"[14, 15, 24, 45]",4,"[19, 45]",2,"[14, 15, 45]",3,"[19, 45]",2,"[14, 15, 45]",3,"[19, 45]",2,"[14, 15, 45]",3,"[19, 45]",2,"[14, 45]",2,[19],1,"[14, 45]",2,[19],1,[14],1
3,5,"[0, 1, 13, 17, 44, 51]",6,"[0, 1, 8, 20, 29, 44, 63]",7,"[0, 1, 13, 17, 44, 51]",6,"[0, 1, 8, 20, 29, 44, 63]",7,"[13, 17, 44, 51]",4,"[8, 20, 44, 63]",4,[],0,"[8, 20, 29, 44, 63]",5,[51],1,"[8, 20, 44, 63]",4,[51],1,"[8, 20, 63]",3,[51],1,"[8, 20, 63]",3,[],0,"[8, 20]",2,[],0,"[8, 20]",2,[],0,[20],1,[],0,[20],1
3,6,"[3, 11, 22, 28, 42, 44, 45]",7,"[3, 9, 11, 23, 32, 34, 39, 63]",8,"[3, 11, 22, 28, 42, 44, 45]",7,"[3, 9, 11, 23, 32, 34, 39, 63]",8,"[3, 11, 22, 28, 42, 44, 45]",7,"[3, 9, 11, 23, 32, 34, 39]",7,"[3, 11, 22, 28, 42, 45]",6,"[3, 9, 11, 23, 32, 34, 39, 63]",8,"[3, 11, 22, 28, 42, 45]",6,"[3, 9, 11, 23, 32, 34, 39]",7,"[3, 11, 22, 28, 45]",5,"[3, 9, 11, 23, 32, 34, 39, 63]",8,"[3, 11, 22, 28, 45]",5,"[3, 9, 11, 23, 32, 39, 63]",7,"[3, 11, 22, 28, 45]",5,"[3, 9, 11, 23, 32, 39, 63]",7,"[3, 11, 22, 28, 45]",5,"[3, 23, 32, 39, 63]",5,"[3, 11, 22, 28, 45]",5,"[3, 23, 32, 39, 63]",5,"[3, 11, 22, 45]",4,"[3, 23, 32, 39, 63]",5
3,7,"[0, 5, 10, 33, 48]",5,"[0, 10, 33, 47, 48]",5,"[0, 5, 10, 33, 48]",5,"[0, 10, 33, 47, 48]",5,"[0, 5, 10, 33, 48]",5,"[0, 10, 33, 47, 48]",5,"[0, 10, 33, 48]",4,"[0, 10, 33, 47, 48]",5,"[0, 5, 33, 48]",4,"[0, 10, 33, 47, 48]",5,"[0, 10, 33, 48]",4,"[0, 33, 48]",3,"[0, 5, 33, 48]",4,"[0, 33, 48]",3,"[0, 5, 33, 48]",4,"[0, 33, 48]",3,"[0, 33, 48]",3,"[0, 33, 48]",3,"[0, 5, 33, 48]",4,"[0, 33, 48]",3,[48],1,[48],1
3,8,"[2, 17, 33, 48]",4,"[2, 7, 24, 33, 48]",5,"[2, 17, 33, 48]",4,"[2, 7, 24, 33, 48]",5,"[2, 33, 48]",3,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 33]",2,"[2, 7, 33]",3
3,9,"[5, 26, 51, 58]",4,"[5, 14, 22, 26, 27, 35, 41, 46, 58]",9,"[5, 26, 51, 58]",4,"[5, 14, 22, 26, 27, 35, 41, 46, 58]",9,"[26, 51, 58]",3,"[5, 14, 22, 26, 27, 41, 58]",7,"[26, 51, 58]",3,"[5, 14, 26, 27, 35, 41]",6,"[26, 51, 58]",3,"[5, 14, 26, 27, 35, 41]",6,"[26, 51, 58]",3,"[5, 14, 26, 27, 41]",5,"[26, 51, 58]",3,"[5, 14, 27, 35, 41]",5,"[26, 51, 58]",3,"[5, 14, 27, 35, 41]",5,"[26, 51, 58]",3,"[5, 14, 41]",3,"[51, 58]",2,"[5, 14, 35, 41]",4,"[51, 58]",2,"[14, 35, 41]",3
3,10,"[3, 6, 38, 43, 47, 57]",6,"[3, 4, 8, 13, 31, 40, 43, 58]",8,"[3, 6, 38, 43, 47, 57]",6,"[3, 4, 8, 13, 31, 40, 43, 58]",8,"[3, 38, 57]",3,"[3, 4, 8, 13, 40, 43, 58]",7,"[6, 38, 57]",3,"[3, 4, 8, 13, 40, 58]",6,"[6, 38, 57]",3,"[3, 4, 8, 13, 40, 43, 58]",7,"[6, 38, 57]",3,"[4, 8, 13, 40, 58]",5,"[6, 38, 57]",3,"[4, 8, 13, 31, 40, 58]",6,"[6, 38, 57]",3,"[4, 8, 13, 31, 40, 58]",6,"[38, 57]",2,"[4, 8, 13, 31, 58]",5,"[38, 57]",2,"[4, 8, 13, 31]",4,"[38, 57]",2,"[4, 8, 13]",3
3,11,"[3, 18, 45, 56, 62]",5,"[2, 3, 10, 31, 41, 53]",6,"[3, 18, 45, 56, 62]",5,"[2, 3, 10, 31, 41, 53]",6,"[18, 45, 56, 62]",4,"[2, 3, 10, 31, 41, 53]",6,"[18, 45, 56, 62]",4,"[2, 3, 10, 31, 53]",5,"[18, 45, 56, 62]",4,"[2, 3, 31, 41, 53]",5,"[45, 56, 62]",3,"[2, 3, 53]",3,"[45, 56, 62]",3,"[2, 3, 31, 53]",4,"[45, 56]",2,"[2, 3, 31, 41]",4,"[45, 56]",2,"[2, 3]",2,"[45, 56]",2,"[2, 3, 31, 41]",4,"[45, 56]",2,"[2, 3, 31, 41]",4
4,0,"[0, 18, 23, 24, 31, 44, 59]",7,"[1, 2, 8, 23, 24, 26, 41, 44, 63]",9,"[0, 18, 23, 24, 31, 44, 59]",7,"[1, 2, 8, 23, 24, 26, 41, 44, 63]",9,"[18, 23, 24, 44, 59]",5,"[1, 8, 23, 24, 26, 44, 63]",7,"[18, 23, 24, 44, 59]",5,"[1, 8, 23, 24, 26, 44, 63]",7,"[18, 23, 24, 44, 59]",5,"[1, 8, 23, 26, 44, 63]",6,"[18, 23, 24, 44, 59]",5,"[1, 8, 26, 44, 63]",5,"[18, 24, 59]",3,"[1, 8, 26, 44, 63]",5,"[24, 44, 59]",3,"[1, 8, 26, 44, 63]",5,"[24, 44, 59]",3,"[1, 8, 44, 63]",4,[59],1,"[1, 8, 44, 63]",4,[59],1,"[1, 8, 44, 63]",4
4,1,"[11, 17, 21, 25, 40, 59]",6,"[6, 33, 47, 53]",4,"[11, 17, 21, 25, 40, 59]",6,"[6, 33, 47, 53]",4,"[11, 17, 21, 40]",4,[33],1,"[11, 17, 21, 40]",4,[33],1,"[11, 21, 40]",3,[],0,"[11, 21, 40]",3,[],0,"[11, 21, 40]",3,"[33, 53]",2,"[11, 21, 40]",3,[],0,"[11, 21, 40]",3,[],0,"[11, 21, 40]",3,[6],1,"[11, 21, 40]",3,[33],1
4,2,"[3, 9, 12, 17, 21, 26, 55, 62]",8,"[0, 3, 9, 17, 21, 26, 39, 41, 54, 55, 62]",11,"[3, 9, 12, 17, 21, 26, 55, 62]",8,"[0, 3, 9, 17, 21, 26, 39, 41, 54, 55, 62]",11,"[3, 9, 17, 21, 26, 55, 62]",7,"[0, 3, 9, 17, 21, 26, 41, 54]",8,"[9, 17, 21, 26, 55, 62]",6,"[0, 9, 17, 21, 26, 39, 41, 54]",8,"[9, 17, 21, 26, 55, 62]",6,"[0, 9, 17, 21, 26, 39, 41]",7,"[9, 17, 21, 26, 55, 62]",6,"[0, 9, 17, 21, 26, 41]",6,"[9, 17, 21, 26, 62]",5,"[0, 17, 21, 26, 41, 62]",6,"[9, 17, 21, 26, 55, 62]",6,"[0, 17, 21, 26, 41, 62]",6,"[9, 17, 21, 26, 62]",5,"[0, 17, 21, 26, 41, 62]",6,"[9, 17, 21, 26, 62]",5,"[0, 17, 26, 41, 62]",5,"[17, 21, 26, 62]",4,"[0, 17, 26, 62]",4
4,3,"[4, 26, 34, 35, 41, 42, 50]",7,"[4, 17, 26, 30, 34, 35, 41, 48, 54]",9,"[4, 26, 34, 35, 41, 42, 50]",7,"[4, 17, 26, 30, 34, 35, 41, 48, 54]",9,"[4, 26, 34, 35, 41, 42]",6,"[4, 17, 30, 34, 41, 48, 54]",7,"[4, 26, 34, 35, 41, 42]",6,"[4, 17, 30, 34, 41, 48, 54]",7,"[4, 26, 34, 41, 42]",5,"[4, 17, 30, 34, 41, 48, 54]",7,"[26, 34, 41, 42, 50]",5,"[17, 30, 34, 41, 48, 54]",6,"[26, 34, 35, 41, 50]",5,"[30, 34, 41, 48, 54]",5,"[26, 34, 41, 42, 50]",5,"[30, 34, 41, 48, 54]",5,"[26, 34, 41, 42, 50]",5,"[30, 34, 41, 48, 54]",5,"[34, 41, 42, 50]",4,"[30, 34, 41, 48, 54]",5,"[34, 41, 42, 50]",4,"[30, 34, 41, 48, 54]",5
4,4,"[3, 19, 31, 37, 56]",5,"[3, 31, 37, 43, 51, 53, 56]",7,"[3, 19, 31, 37, 56]",5,"[3, 31, 37, 43, 51, 53, 56]",7,"[3, 19, 31, 37]",4,"[3, 37, 43, 53]",4,"[3, 19, 37]",3,"[3, 37, 43, 53]",4,"[3, 19, 37]",3,"[3, 37, 43, 53]",4,"[3, 19, 37]",3,"[3, 37, 43, 53]",4,"[3, 19, 37]",3,"[3, 37, 43, 53]",4,"[3, 19, 37]",3,"[37, 43, 53]",3,[37],1,"[37, 43]",2,[],0,"[43, 53]",2,[],0,"[37, 43, 53]",3
4,5,"[20, 31, 36]",3,"[7, 11, 20, 32, 36, 44, 53]",7,"[20, 31, 36]",3,"[7, 11, 20, 32, 36, 44, 53]",7,"[20, 31, 36]",3,"[7, 11, 20, 32, 36, 53]",6,"[20, 31, 36]",3,"[7, 11, 32, 36]",4,"[20, 31, 36]",3,"[7, 11, 32, 36, 44]",5,"[31, 36]",2,"[7, 11, 32, 36]",4,[31],1,"[7, 32]",2,[],0,"[7, 32]",2,[],0,[32],1,[],0,[],0,[],0,[],0
4,6,"[9, 11, 41, 43, 59]",5,"[11, 43, 59]",3,"[9, 11, 41, 43, 59]",5,"[11, 43, 59]",3,"[9, 11, 41, 43, 59]",5,"[11, 43, 59]",3,"[9, 11, 41, 43, 59]",5,"[43, 59]",2,"[43, 59]",2,"[43, 59]",2,"[43, 59]",2,"[43, 59]",2,"[43, 59]",2,"[43, 59]",2,"[43, 59]",2,"[43, 59]",2,"[43, 59]",2,"[43, 59]",2,[59],1,"[43, 59]",2,[59],1,"[43, 59]",2
