,,CLASS 1 (clean images),,,,"k = 5, s = 1.0",,,,"k = 5, s = 2.0",,,,"k = 5, s = 4.0",,,,"k = 5, s = 9.0",,,,"k = 7, s = 2.0",,,,"k = 7, s = 4.0",,,,"k = 7, s = 13.5",,,,"k = 7, s = 15.0",,,,"k = 11, s = 2.0",,,,"k = 11, s = 5.0",,,
layer,head,patch_common_features_cls1,patch_count_cls1,cls_common_features_cls1,cls_count_cls1,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count
2,5,"[2, 28, 42, 45, 54]",5,"[2, 28, 41, 42, 45, 54]",6,"[28, 45, 54]",3,"[28, 54]",2,[54],1,[54],1,"[45, 54]",2,[54],1,"[45, 54]",2,[54],1,[54],1,[],0,"[45, 54]",2,[],0,"[45, 54]",2,[],0,"[45, 54]",2,[],0,[],0,[],0,[],0,[],0
2,6,"[16, 33, 34, 37, 40, 54, 56]",7,"[16, 33, 34, 37, 40, 54, 56, 58]",8,"[16, 33, 37, 56]",4,"[16, 33, 37, 56, 58]",5,"[16, 33, 37, 56]",4,"[16, 33, 37, 56, 58]",5,"[16, 33, 37, 56]",4,"[16, 33, 37, 56, 58]",5,"[16, 33, 37, 56]",4,"[16, 33, 37, 56, 58]",5,"[16, 33, 37, 56]",4,"[16, 33, 37, 56, 58]",5,"[16, 33, 37, 56]",4,"[16, 33, 37, 56, 58]",5,"[16, 33, 37, 56]",4,"[16, 33, 37, 56, 58]",5,"[16, 33, 37, 56]",4,"[16, 33, 37, 56, 58]",5,"[16, 33, 37, 56]",4,"[16, 33, 37, 56, 58]",5,"[16, 33, 37, 56]",4,"[16, 33, 37, 56, 58]",5
2,7,"[1, 15, 32, 48, 56, 58]",6,"[15, 19, 25, 32, 48, 58, 63]",7,"[1, 32, 48, 56, 58]",5,"[32, 58]",2,"[1, 56, 58]",3,[58],1,"[1, 56, 58]",3,[58],1,"[1, 56, 58]",3,[58],1,"[1, 56, 58]",3,"[15, 58]",2,"[1, 56, 58]",3,"[15, 58]",2,"[1, 56, 58]",3,"[15, 58]",2,"[1, 56, 58]",3,"[15, 58]",2,"[1, 56, 58]",3,"[15, 58]",2,"[1, 56, 58]",3,"[15, 58]",2
2,8,"[4, 16, 23, 29, 41, 43, 44, 46, 49]",9,"[4, 16, 23, 29, 41, 43, 44, 46, 49]",9,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3,"[4, 23, 49]",3
2,9,"[20, 26, 27, 42, 56, 58]",6,"[3, 10, 20, 32, 56, 58]",6,"[20, 56, 58]",3,"[20, 32, 56, 58]",4,"[20, 56, 58]",3,"[20, 56]",2,"[20, 27, 42, 56, 58]",5,"[20, 32, 56]",3,"[20, 27, 42, 56, 58]",5,"[20, 32, 56]",3,"[20, 27, 42, 56, 58]",5,"[20, 56]",2,"[20, 27, 42, 56, 58]",5,"[20, 56]",2,"[20, 27, 42, 56, 58]",5,"[20, 56]",2,"[20, 27, 42, 56, 58]",5,"[20, 56]",2,"[20, 27, 42, 56, 58]",5,"[20, 56]",2,"[20, 27, 56]",3,"[20, 56]",2
2,10,"[2, 4, 15, 20, 28, 36, 51]",7,"[2, 4, 15, 28, 36, 51]",6,"[15, 20]",2,[15],1,"[15, 20]",2,[15],1,"[15, 20]",2,[15],1,"[15, 20]",2,[15],1,"[15, 20, 28]",3,[15],1,"[15, 20, 28]",3,[15],1,"[15, 20]",2,[15],1,"[15, 20]",2,[15],1,"[15, 20, 28]",3,[15],1,"[15, 20]",2,[15],1
2,11,"[8, 10, 30, 40, 53]",5,"[8, 30, 35, 40, 53, 58]",6,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1,[8],1
3,0,"[1, 12, 24, 37, 41, 42, 49, 52, 58]",9,"[2, 15, 18, 20, 41, 45, 47, 49]",8,"[24, 42, 49]",3,"[15, 49]",2,"[24, 42, 49]",3,"[15, 49]",2,"[24, 42, 49]",3,"[15, 49]",2,"[24, 42, 49]",3,[49],1,"[24, 42, 49]",3,"[15, 49]",2,"[24, 42, 49]",3,"[15, 49]",2,"[24, 42, 49]",3,"[15, 49]",2,"[24, 42, 49]",3,"[15, 49]",2,"[24, 42, 49]",3,"[15, 49]",2,"[24, 42, 49]",3,"[15, 49]",2
3,1,"[14, 18, 28, 45, 48, 51, 63]",7,"[14, 18, 42, 45, 51, 63]",6,"[45, 48, 51, 63]",4,"[45, 51, 63]",3,"[48, 51, 63]",3,"[51, 63]",2,"[45, 48, 51]",3,"[45, 51]",2,"[45, 48, 51]",3,"[45, 51]",2,"[48, 51]",2,[51],1,"[48, 51]",2,[51],1,"[48, 51]",2,[51],1,"[48, 51]",2,[51],1,"[48, 51]",2,[51],1,"[48, 51]",2,"[42, 51]",2
3,2,"[1, 3, 4, 16, 29, 38, 53]",7,"[1, 3, 4, 16, 29, 38, 53]",7,[1],1,[],0,"[1, 29]",2,"[1, 53]",2,"[29, 53]",2,"[29, 53]",2,"[29, 53]",2,"[29, 53]",2,[29],1,[1],1,"[1, 29]",2,[1],1,"[1, 29]",2,"[1, 53]",2,"[1, 29]",2,"[1, 53]",2,[29],1,[1],1,[1],1,[1],1
3,3,"[57, 62]",2,"[23, 30, 31, 35, 36, 37, 42, 60, 62]",9,[],0,[35],1,[57],1,[35],1,[57],1,[35],1,[57],1,[35],1,[57],1,"[31, 35]",2,[57],1,"[31, 35]",2,[57],1,"[31, 35]",2,[57],1,"[31, 35]",2,[57],1,"[31, 35]",2,[57],1,"[31, 35]",2
3,4,"[15, 19, 23, 45, 58]",5,"[14, 15, 24, 32, 45, 51]",6,"[15, 19, 23, 45]",4,"[14, 15, 45]",3,"[19, 23]",2,[],0,"[19, 23]",2,[],0,"[19, 23]",2,[32],1,[23],1,[],0,[23],1,[],0,[23],1,[],0,[23],1,[],0,[23],1,[],0,[23],1,[],0
3,5,"[0, 1, 13, 17, 44, 51]",6,"[0, 1, 8, 20, 29, 44, 63]",7,[],0,[29],1,[],0,[29],1,[],0,[29],1,[],0,[29],1,[13],1,"[8, 29]",2,[13],1,"[8, 29]",2,[],0,"[8, 29]",2,[],0,"[8, 29]",2,[13],1,"[8, 29]",2,[13],1,"[8, 29]",2
3,6,"[3, 11, 22, 28, 42, 44, 45]",7,"[3, 9, 11, 23, 32, 34, 39, 63]",8,"[22, 44, 45]",3,"[23, 34]",2,"[11, 22, 44, 45]",4,"[23, 34]",2,"[22, 44]",2,"[23, 34]",2,"[22, 44]",2,"[23, 34]",2,"[11, 22, 44, 45]",4,"[23, 34]",2,"[11, 22, 44, 45]",4,"[23, 34]",2,"[22, 44]",2,[34],1,"[22, 44]",2,[34],1,"[11, 22, 44, 45]",4,"[23, 34]",2,"[11, 22, 44, 45]",4,[],0
3,7,"[0, 5, 10, 33, 48]",5,"[0, 10, 33, 47, 48]",5,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[48],1,[10],1,[10],1,[10],1,[10],1,[],0,"[10, 48]",2,[],0,"[10, 48]",2,[10],1,[10],1,[10],1,[10],1
3,8,"[2, 17, 33, 48]",4,"[2, 7, 24, 33, 48]",5,[],0,[],0,[33],1,[33],1,[33],1,[33],1,[33],1,[33],1,[],0,[33],1,[33],1,[],0,[],0,[],0,[],0,[],0,[33],1,[33],1,[33],1,[33],1
3,9,"[5, 26, 51, 58]",4,"[5, 14, 22, 26, 27, 35, 41, 46, 58]",9,[26],1,"[5, 27]",2,[],0,"[5, 14, 27]",3,[],0,"[5, 14, 27]",3,[],0,"[5, 14, 27]",3,[],0,"[5, 14, 27]",3,[],0,"[5, 14, 27]",3,[],0,"[5, 14, 27]",3,[],0,"[5, 14, 27]",3,[],0,"[5, 14, 27]",3,[],0,"[14, 27]",2
3,10,"[3, 6, 38, 43, 47, 57]",6,"[3, 4, 8, 13, 31, 40, 43, 58]",8,[38],1,"[4, 8, 13, 40]",4,"[38, 47]",2,"[4, 40]",2,"[38, 47]",2,"[4, 40]",2,"[38, 47]",2,"[4, 40]",2,"[38, 47]",2,[4],1,"[38, 47]",2,[4],1,"[38, 47]",2,[4],1,"[38, 47]",2,[4],1,"[38, 47]",2,[4],1,[38],1,[4],1
3,11,"[3, 18, 45, 56, 62]",5,"[2, 3, 10, 31, 41, 53]",6,"[3, 18, 45]",3,"[2, 3, 31]",3,"[3, 45]",2,"[2, 3, 31]",3,"[3, 18, 45]",3,"[3, 31]",2,"[3, 18, 45]",3,"[3, 31]",2,"[3, 45]",2,[3],1,"[3, 18, 45]",3,[3],1,"[3, 18, 45]",3,"[3, 31]",2,"[3, 18, 45]",3,"[3, 31]",2,"[3, 45]",2,[3],1,"[3, 45]",2,"[3, 10]",2
4,0,"[0, 18, 23, 24, 31, 44, 59]",7,"[1, 2, 8, 23, 24, 26, 41, 44, 63]",9,"[0, 18, 24, 59]",4,"[1, 2, 23, 24, 26, 41, 63]",7,"[18, 24, 31]",3,"[2, 23, 24, 41, 63]",5,"[18, 24, 31]",3,"[2, 24, 41, 63]",4,"[18, 24, 31]",3,"[2, 24, 41, 63]",4,"[18, 24, 31]",3,"[2, 24, 41, 63]",4,"[18, 31]",2,"[2, 24, 41, 63]",4,"[18, 31]",2,"[2, 24, 41, 63]",4,"[18, 31]",2,"[2, 24, 41, 63]",4,"[18, 24, 31]",3,"[2, 24, 41, 63]",4,"[18, 31]",2,"[2, 8, 24, 41, 63]",5
4,1,"[11, 17, 21, 25, 40, 59]",6,"[6, 33, 47, 53]",4,"[17, 21, 40, 59]",4,"[6, 33]",2,"[17, 21, 40, 59]",4,"[6, 33]",2,"[17, 21, 40, 59]",4,"[6, 33, 53]",3,"[17, 21, 40]",3,"[6, 33, 53]",3,"[17, 21, 40]",3,"[6, 33]",2,"[17, 21, 40]",3,"[6, 33, 53]",3,"[17, 21, 40]",3,"[6, 33, 53]",3,"[17, 21, 40]",3,"[6, 33, 53]",3,"[17, 21, 40]",3,"[6, 33]",2,"[17, 21, 40]",3,"[6, 33]",2
4,2,"[3, 9, 12, 17, 21, 26, 55, 62]",8,"[0, 3, 9, 17, 21, 26, 39, 41, 54, 55, 62]",11,"[9, 17, 21]",3,"[0, 3, 17, 21, 39, 41]",6,"[9, 17, 21]",3,"[0, 17, 21, 39, 41]",5,"[9, 17, 21]",3,"[0, 17, 21, 39, 41]",5,"[9, 17, 21]",3,"[0, 17, 21, 39, 41]",5,"[9, 21]",2,"[0, 21, 41]",3,"[9, 17, 21]",3,"[0, 21, 41]",3,"[9, 17, 21]",3,"[0, 21, 41]",3,"[9, 17, 21]",3,"[0, 17, 21, 41]",4,"[9, 21]",2,"[0, 41]",2,"[9, 17, 21]",3,"[0, 41, 62]",3
4,3,"[4, 26, 34, 35, 41, 42, 50]",7,"[4, 17, 26, 30, 34, 35, 41, 48, 54]",9,"[4, 26, 34, 42]",4,"[4, 17, 26, 30, 34, 41, 48]",7,"[4, 26]",2,"[4, 26, 30, 34, 41, 48]",6,"[26, 34]",2,"[4, 17, 26, 30, 34, 41, 48]",7,"[26, 34]",2,"[4, 17, 26, 30, 34, 41, 48]",7,"[4, 26]",2,"[4, 26, 30, 34, 41, 48]",6,[34],1,"[17, 30, 34, 41, 48]",5,[34],1,"[17, 30, 34, 41, 48]",5,[34],1,"[17, 30, 34, 41, 48]",5,[],0,"[30, 34, 41, 48]",4,"[34, 50]",2,"[17, 30, 34, 48]",4
4,4,"[3, 19, 31, 37, 56]",5,"[3, 31, 37, 43, 51, 53, 56]",7,"[31, 56]",2,"[31, 43, 51]",3,[31],1,"[31, 43, 53]",3,[31],1,"[31, 53]",2,[31],1,"[31, 37, 53]",3,[31],1,[31],1,[31],1,"[31, 53]",2,[31],1,"[31, 53]",2,[31],1,"[31, 53]",2,[31],1,[31],1,[31],1,"[31, 53]",2
4,5,"[20, 31, 36]",3,"[7, 11, 20, 32, 36, 44, 53]",7,[31],1,"[7, 32, 53]",3,[31],1,"[7, 32, 53]",3,[31],1,"[7, 53]",2,[31],1,[53],1,"[31, 36]",2,"[32, 36, 44, 53]",4,[31],1,"[32, 36, 44, 53]",4,[31],1,"[32, 44, 53]",3,[31],1,"[32, 44, 53]",3,"[31, 36]",2,"[32, 36, 44, 53]",4,[],0,"[32, 36, 44, 53]",4
4,6,"[9, 11, 41, 43, 59]",5,"[11, 43, 59]",3,[59],1,"[43, 59]",2,"[11, 59]",2,"[43, 59]",2,[59],1,"[43, 59]",2,[59],1,"[43, 59]",2,"[11, 59]",2,"[11, 43, 59]",3,[59],1,"[43, 59]",2,[59],1,"[43, 59]",2,[59],1,"[43, 59]",2,"[11, 59]",2,"[11, 43, 59]",3,[],0,"[43, 59]",2
4,7,"[5, 17, 36, 43, 58, 62]",6,"[13, 27, 43, 55, 62]",5,"[5, 36, 58, 62]",4,"[27, 62]",2,"[5, 36]",2,"[27, 62]",2,"[5, 36, 62]",3,"[27, 62]",2,"[5, 36, 62]",3,"[27, 62]",2,"[5, 36]",2,[27],1,[36],1,"[27, 62]",2,"[5, 36]",2,"[27, 62]",2,"[5, 36]",2,"[27, 62]",2,"[5, 36]",2,[27],1,[36],1,[27],1
4,8,"[0, 6, 19, 20, 41, 47, 58]",7,"[0, 2, 19, 27, 41, 43, 53]",7,"[19, 41, 58]",3,"[0, 19, 41, 43]",4,"[19, 58]",2,"[0, 43]",2,"[19, 20, 58]",3,"[0, 43]",2,"[19, 20, 58]",3,"[0, 43]",2,"[19, 41, 47, 58]",4,[43],1,"[19, 20, 47, 58]",4,"[0, 43]",2,"[19, 20, 58]",3,"[0, 43]",2,"[19, 20, 58]",3,"[0, 43]",2,"[19, 20, 41, 47, 58]",5,[43],1,"[19, 20, 41, 58]",4,[43],1
4,9,"[2, 11, 19, 20, 32, 38, 55]",7,"[2, 4, 13, 15, 38, 39, 43, 48]",8,"[2, 11, 20, 38, 55]",5,"[2, 4, 13, 15, 38, 39, 43]",7,"[20, 38, 55]",3,"[4, 15, 43]",3,"[11, 19, 38]",3,"[2, 4, 15, 43]",4,"[11, 19, 38]",3,"[2, 4, 15, 38, 39, 43]",6,"[20, 38]",2,"[4, 15, 43]",3,"[19, 20, 38]",3,"[4, 15, 43]",3,"[19, 20, 38]",3,"[4, 15, 43]",3,"[19, 20, 38]",3,"[4, 15, 43]",3,"[20, 38]",2,"[4, 15, 43]",3,"[19, 20, 38, 55]",4,"[4, 15, 43]",3
4,10,"[4, 49, 54]",3,"[8, 11, 16, 18, 23, 27, 29, 36, 51, 54]",10,[49],1,"[8, 11, 18, 29, 36, 51, 54]",7,[49],1,"[18, 29, 36, 51]",4,[49],1,"[18, 29, 36, 51]",4,[49],1,"[18, 29, 36, 51]",4,[49],1,"[18, 29, 36, 54]",4,[49],1,"[18, 29, 36, 54]",4,[49],1,"[18, 29, 36]",3,[49],1,"[18, 29, 36]",3,[49],1,"[18, 29, 36, 54]",4,[49],1,"[18, 29, 36, 54]",4
4,11,"[5, 6, 10, 31, 32, 42, 54]",7,"[5, 6, 10, 32, 42, 54]",6,"[6, 10, 32, 42]",4,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 32]",3,"[6, 10, 31, 32]",4,"[6, 10, 32]",3
5,0,"[2, 15, 16, 20, 22, 23, 35, 45]",8,"[2, 16, 20, 22, 23, 35, 45]",7,"[2, 16, 20, 22, 23, 35]",6,"[2, 16, 20, 22, 23, 35]",6,"[2, 16, 22, 23]",4,"[2, 16, 22, 23]",4,"[2, 16, 20, 22, 23]",5,"[2, 16, 20, 22, 23]",5,"[2, 16, 20, 22, 23]",5,"[2, 16, 20, 22, 23]",5,"[2, 16, 22, 23]",4,"[2, 16, 22, 23]",4,"[2, 16, 22, 23]",4,"[2, 16, 22, 23]",4,"[2, 16, 20, 22, 23]",5,"[2, 16, 20, 22, 23]",5,"[2, 16, 20, 22, 23]",5,"[2, 16, 20, 22, 23]",5,"[2, 16, 22, 23]",4,"[2, 16, 22, 23]",4,"[2, 16, 22, 23]",4,"[2, 16, 22, 23]",4
5,1,"[0, 4, 13, 14, 21, 30, 43, 56]",8,"[0, 13, 14, 21, 30, 31]",6,"[4, 13, 56]",3,"[13, 30, 31]",3,"[13, 21, 30]",3,"[13, 21, 30, 31]",4,"[4, 21, 30, 56]",4,"[13, 30, 31]",3,"[4, 21, 30, 56]",4,"[30, 31]",2,"[13, 21, 30]",3,"[13, 21, 30]",3,"[21, 30]",2,"[13, 21, 30, 31]",4,"[21, 30]",2,"[21, 30, 31]",3,"[21, 30]",2,"[21, 30, 31]",3,"[13, 21, 30]",3,"[13, 21, 30]",3,"[21, 30]",2,"[21, 30]",2
5,2,"[10, 12, 21, 23, 47, 62]",6,"[1, 10, 12, 19, 21, 25, 27, 49, 62]",9,"[12, 21, 47, 62]",4,"[1, 12, 19, 21, 27]",5,"[12, 21, 47, 62]",4,"[1, 12, 19, 21, 27, 62]",6,"[12, 21, 23, 47, 62]",5,"[1, 12, 19, 21, 25, 27, 62]",7,"[12, 21, 23, 47, 62]",5,"[1, 12, 19, 21, 25, 27, 62]",7,"[21, 47, 62]",3,"[12, 19, 21, 25, 27, 62]",6,"[21, 47, 62]",3,"[12, 19, 21, 25, 27, 62]",6,"[21, 47, 62]",3,"[12, 19, 21, 25, 27, 62]",6,"[21, 47, 62]",3,"[12, 19, 21, 25, 27, 62]",6,"[21, 47, 62]",3,"[12, 19, 21, 25, 27, 62]",6,"[21, 47, 62]",3,"[19, 21, 25, 27, 62]",5
5,3,"[1, 6, 22, 60, 62]",5,"[5, 13, 22, 23, 28, 33, 60]",7,"[1, 6]",2,"[5, 13, 28]",3,[1],1,"[5, 13, 28, 33]",4,[],0,"[5, 13, 28, 33]",4,[],0,"[5, 13, 28, 33]",4,[1],1,"[5, 28, 33]",3,[],0,"[5, 28, 33]",3,[],0,"[5, 28, 33]",3,[],0,"[5, 28, 33]",3,[1],1,"[5, 28, 33]",3,[],0,"[5, 28, 33]",3
5,4,"[4, 16, 17, 28, 29, 36, 59, 62]",8,"[2, 26, 27, 28, 29, 36, 40, 62]",8,"[16, 17, 28, 29, 36, 62]",6,"[2, 26, 27, 28, 29, 40]",6,"[16, 17, 28, 29, 59, 62]",6,"[2, 26, 27, 28, 40]",5,"[16, 17, 28, 29, 59, 62]",6,"[2, 26, 27, 28, 40]",5,"[16, 17, 28, 29, 36, 59, 62]",7,"[2, 26, 27, 28, 40]",5,"[16, 17, 28, 29, 59, 62]",6,"[2, 26, 27, 28, 40]",5,"[16, 17, 28, 29, 59, 62]",6,"[2, 26, 27, 28, 40]",5,"[16, 17, 28, 36, 59, 62]",6,"[2, 26, 27, 28, 40]",5,"[16, 17, 28, 36, 59, 62]",6,"[2, 26, 27, 28, 40]",5,"[16, 17, 28, 29, 59, 62]",6,"[2, 26, 27, 28, 40]",5,"[16, 17, 28, 59, 62]",5,"[2, 26, 27, 28, 40]",5
5,5,"[10, 20, 30, 41, 57]",5,"[26, 30, 43, 57, 62]",5,"[10, 20, 41]",3,"[26, 30, 43, 57]",4,[41],1,"[26, 30, 43]",3,"[10, 30, 41]",3,"[26, 30, 43]",3,"[10, 30, 41]",3,"[26, 30, 43]",3,[41],1,"[26, 30, 43]",3,[41],1,"[26, 30, 43]",3,[41],1,"[26, 30, 43]",3,[41],1,"[26, 30, 43]",3,[41],1,"[26, 30, 43]",3,[41],1,"[26, 30, 43]",3
5,6,"[0, 3, 4, 12, 25, 32, 54, 58]",8,"[0, 3, 4, 12, 18, 21, 25, 38]",8,"[0, 3, 12, 25, 32, 54, 58]",7,"[0, 3, 12, 18, 25]",5,"[0, 3, 12, 32, 54, 58]",6,"[0, 3, 12, 18, 38]",5,"[0, 3, 12, 32, 54, 58]",6,"[0, 3, 12, 18]",4,"[0, 3, 12, 32, 54, 58]",6,"[0, 3, 12, 18]",4,"[0, 3, 12, 54]",4,"[0, 3, 12, 18, 38]",5,"[0, 3, 54, 58]",4,"[0, 3, 12, 18, 38]",5,"[0, 3, 54, 58]",4,"[0, 3, 12, 18, 38]",5,"[0, 3, 54, 58]",4,"[0, 3, 12, 18, 38]",5,"[3, 54]",2,"[0, 3, 12, 18, 38]",5,"[3, 54, 58]",3,"[0, 3, 12, 18, 38]",5
5,7,"[0, 18, 19, 27, 37, 40, 58, 62]",8,"[0, 10, 13, 18, 25, 42, 58, 62]",8,"[0, 27, 40, 62]",4,"[0, 10, 13, 42, 58, 62]",6,"[0, 40]",2,"[0, 10, 42, 58, 62]",5,"[0, 40, 62]",3,"[0, 10, 42, 58, 62]",5,"[0, 19, 40, 62]",4,"[0, 10, 42, 58, 62]",5,"[0, 40]",2,"[0, 10, 42, 58]",4,"[0, 40]",2,"[0, 10, 42, 58]",4,"[19, 40]",2,"[0, 10, 42, 58]",4,"[19, 40]",2,"[0, 10, 42, 58]",4,[0],1,"[0, 10, 42, 58]",4,"[0, 19]",2,"[0, 10, 42, 58]",4
5,8,"[5, 11, 18, 21, 26, 35, 53, 62, 63]",9,"[4, 18, 26, 36, 53, 58, 62]",7,"[5, 11, 18, 26, 35, 63]",6,"[18, 26, 62]",3,"[26, 63]",2,"[18, 26, 62]",3,"[18, 26, 63]",3,"[18, 26, 62]",3,"[18, 26, 63]",3,"[18, 26, 62]",3,"[26, 63]",2,"[18, 26, 62]",3,"[26, 63]",2,"[18, 26]",2,"[26, 63]",2,"[18, 26]",2,"[26, 63]",2,"[18, 26]",2,"[26, 63]",2,"[18, 26, 62]",3,"[26, 63]",2,"[18, 26]",2
5,9,"[20, 22, 37, 39, 47, 57]",6,"[14, 30, 31, 36, 37, 39, 47, 57]",8,"[20, 37, 57]",3,"[14, 30, 36, 37, 47, 57]",6,"[20, 57]",2,"[14, 30, 36, 37, 47, 57]",6,"[20, 37, 57]",3,"[14, 30, 36, 37, 47, 57]",6,"[20, 37, 57]",3,"[14, 30, 36, 37, 47, 57]",6,"[20, 57]",2,"[14, 30, 36, 37, 47, 57]",6,"[20, 57]",2,"[14, 30, 36, 37, 47, 57]",6,"[20, 57]",2,"[14, 30, 36, 37, 47, 57]",6,"[20, 57]",2,"[14, 30, 36, 37, 47, 57]",6,"[20, 57]",2,"[14, 30, 36, 47, 57]",5,[57],1,"[14, 30, 36, 57]",4
5,10,"[6, 14, 16, 24, 48, 49, 52]",7,"[6, 14, 21, 28, 29, 52]",6,"[6, 16, 24, 48, 49, 52]",6,"[6, 21, 28, 29, 52]",5,"[6, 16, 24, 48, 52]",5,"[6, 14, 21, 29, 52]",5,"[6, 24, 48, 52]",4,"[6, 21, 29, 52]",4,"[6, 24, 48, 52]",4,"[6, 21, 29, 52]",4,"[6, 14, 16, 24, 52]",5,"[6, 14, 21, 29, 52]",5,"[6, 14, 24, 52]",4,"[6, 14, 21, 28, 29, 52]",6,"[6, 14, 24, 52]",4,"[6, 14, 21, 28, 29, 52]",6,"[6, 14, 24, 52]",4,"[6, 14, 21, 28, 29, 52]",6,"[6, 14, 16, 24, 52]",5,"[6, 14, 21, 29, 52]",5,"[6, 14, 24, 52]",4,"[6, 14, 21, 29, 52]",5
5,11,"[3, 5, 16, 22, 27, 41, 48, 50]",8,"[16, 22, 27, 29, 35, 36, 41, 45, 48]",9,"[3, 22, 48, 50]",4,"[16, 22, 35, 45, 48]",5,"[3, 48]",2,"[35, 45, 48]",3,"[3, 22, 48]",3,"[35, 45, 48]",3,"[3, 22, 48]",3,"[22, 27, 45, 48]",4,"[3, 48]",2,"[35, 48]",2,"[3, 41, 48]",3,"[45, 48]",2,"[3, 22, 48]",3,"[45, 48]",2,"[3, 22, 48]",3,"[45, 48]",2,[48],1,"[29, 35, 48]",3,"[3, 41, 48]",3,"[29, 35, 41, 48]",4
6,0,"[33, 38, 48, 49]",4,"[6, 19, 32, 42, 44, 48, 60]",7,[48],1,"[19, 32, 42, 60]",4,[],0,"[19, 32, 60]",3,"[48, 49]",2,"[32, 60]",2,"[48, 49]",2,"[32, 60]",2,[],0,"[32, 60]",2,[],0,"[19, 32, 60]",3,[],0,"[19, 32, 60]",3,[],0,"[19, 32, 60]",3,[],0,"[32, 60]",2,[],0,"[19, 32, 60]",3
6,1,"[12, 14, 18, 22, 29, 30]",6,"[12, 17, 34, 39, 41]",5,"[14, 18, 22, 30]",4,"[12, 17]",2,"[14, 18, 22, 30]",4,[12],1,"[14, 18, 22, 30]",4,"[12, 41]",2,"[14, 18, 22, 30]",4,"[12, 41]",2,"[14, 18, 22, 30]",4,[12],1,"[14, 18, 22, 30]",4,[12],1,"[14, 18, 22, 30]",4,[12],1,"[14, 18, 22, 30]",4,[12],1,"[14, 18, 22, 30]",4,[12],1,"[14, 18, 22, 30]",4,[12],1
6,2,"[0, 10, 26, 30, 53, 55]",6,"[0, 25, 26, 30, 37, 55, 59]",7,"[0, 10, 26, 30, 55]",5,"[0, 25, 26, 55]",4,"[10, 26, 30, 55]",4,"[25, 26, 55]",3,"[0, 10, 26, 30, 55]",5,"[0, 26, 30, 55]",4,"[0, 10, 26, 30, 53, 55]",6,"[0, 26, 30, 55]",4,"[10, 55]",2,"[25, 26, 55]",3,"[10, 30, 55]",3,"[25, 26, 30, 55]",4,"[0, 10, 30, 55]",4,"[25, 26, 30, 55]",4,"[0, 10, 30, 55]",4,"[25, 26, 30, 55]",4,"[10, 55]",2,"[25, 55]",2,"[10, 30, 55]",3,"[25, 30, 55]",3
6,3,"[10, 20, 23, 62]",4,"[5, 10, 20, 23, 62]",5,"[23, 62]",2,"[5, 10, 20, 23, 62]",5,"[23, 62]",2,"[5, 20, 23, 62]",4,"[23, 62]",2,"[5, 20, 23]",3,"[23, 62]",2,"[5, 20, 23]",3,"[23, 62]",2,"[5, 23]",2,[23],1,"[5, 23]",2,"[23, 62]",2,"[5, 20, 23]",3,"[23, 62]",2,"[5, 20, 23]",3,"[23, 62]",2,"[5, 23]",2,[],0,"[5, 20, 23]",3
