,,CLASS 1 (clean images),,,,"k = 5, s = 1.0",,,,"k = 5, s = 2.0",,,,"k = 5, s = 4.0",,,,"k = 5, s = 9.0",,,,"k = 7, s = 2.0",,,,"k = 7, s = 4.0",,,,"k = 7, s = 13.5",,,,"k = 7, s = 15.0",,,,"k = 11, s = 2.0",,,,"k = 11, s = 5.0",,,
layer,head,patch_common_features_cls1,patch_count_cls1,cls_common_features_cls1,cls_count_cls1,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count
0,9,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 59, 63]",7,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 63]",7,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 17, 36, 39, 43, 59]",7,"[2, 12, 17, 36, 39, 43, 59]",7,"[2, 12, 17, 36, 39, 43, 59]",7,"[2, 12, 17, 36, 39, 43, 59]",7,"[2, 12, 17, 36, 39, 43, 59]",7,"[2, 12, 17, 36, 39, 43, 59]",7,"[2, 12, 17, 36, 39, 43, 59]",7,"[2, 12, 17, 36, 39, 43, 59]",7,"[2, 12, 17, 36, 39, 43]",6,"[2, 12, 17, 36, 39, 59]",6
0,10,"[11, 15, 29, 33, 36, 49]",6,"[11, 15, 29, 33, 36, 49, 59]",7,"[11, 15, 36, 49]",4,"[11, 15, 33, 36, 59]",5,"[11, 15, 36, 49]",4,"[11, 15, 36, 49, 59]",5,"[11, 15, 36, 49]",4,"[11, 15, 36, 49, 59]",5,"[11, 15, 36, 49]",4,"[11, 15, 36, 49, 59]",5,"[11, 15, 36, 49]",4,"[11, 15, 36, 49, 59]",5,"[11, 15, 36, 49]",4,"[11, 15, 36, 49, 59]",5,"[11, 15, 36, 49]",4,"[11, 15, 36, 49, 59]",5,"[11, 15, 36, 49]",4,"[11, 15, 36, 49, 59]",5,"[11, 15, 36, 49]",4,"[11, 15, 36, 49, 59]",5,"[11, 15, 36]",3,"[11, 15, 36, 49, 59]",5
0,11,"[0, 9, 40]",3,"[0, 9, 40, 44, 63]",5,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4,"[0, 9, 40]",3,"[0, 9, 40, 63]",4
1,0,"[7, 10, 25, 26, 42, 44, 48, 50, 59]",9,"[7, 10, 20, 25, 26, 42, 44, 48, 59]",9,"[50, 59]",2,[],0,[59],1,[],0,[59],1,[],0,[59],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
1,1,"[4, 8, 26, 40, 42, 48, 62]",7,"[4, 8, 26, 40, 42, 48, 62]",7,"[4, 26, 40, 48]",4,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[4, 40, 48]",3,"[40, 48, 62]",3
1,2,"[1, 3, 8, 13, 28, 39, 50, 57, 59]",9,"[8, 27, 39, 44, 50, 59, 63]",7,[8],1,"[8, 63]",2,[],0,"[8, 63]",2,[],0,[63],1,[],0,[63],1,[],0,[63],1,[],0,"[27, 63]",2,[],0,"[27, 63]",2,[],0,"[27, 63]",2,[],0,[63],1,[],0,"[27, 63]",2
1,3,"[3, 10, 22, 44, 58]",5,"[3, 22, 44]",3,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1,[44],1
1,4,"[20, 24, 29, 35, 38, 39, 51, 59, 63]",9,"[20, 24, 35, 38, 39, 51, 63]",7,"[20, 24, 35, 38, 39, 63]",6,"[20, 24, 35, 38, 39, 63]",6,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5,"[20, 24, 35, 39, 63]",5
1,5,"[1, 5, 10, 17, 23, 34, 41, 50]",8,"[0, 1, 10, 23, 25, 27, 31, 41]",8,"[1, 23]",2,"[0, 1, 23, 25, 41]",5,"[1, 23]",2,"[0, 1, 23, 25, 41]",5,"[1, 23]",2,"[0, 1, 23, 25, 41]",5,"[1, 23]",2,"[0, 1, 23, 25, 41]",5,"[1, 23]",2,"[0, 1, 23, 25, 41]",5,"[1, 23]",2,"[0, 1, 23, 25, 41]",5,"[1, 23]",2,"[0, 1, 23, 25, 41]",5,"[1, 23]",2,"[0, 1, 23, 25, 41]",5,"[1, 23]",2,"[0, 1, 23, 25, 41]",5,"[1, 23]",2,"[0, 1, 10, 23, 25, 41]",6
1,6,"[18, 21, 22, 37, 45, 47, 57, 59]",8,"[16, 18, 21, 22, 37, 45, 47, 57, 59]",9,"[18, 22, 37]",3,"[18, 22, 37, 47, 57]",5,"[18, 22, 57]",3,"[18, 22, 37, 47, 57]",5,"[18, 22, 37, 57]",4,"[18, 22, 37, 47, 57]",5,"[18, 22, 37, 47, 57]",5,"[18, 22, 37, 47, 57]",5,"[18, 22, 37, 57]",4,"[18, 22, 37, 47]",4,"[18, 22, 37, 47, 57]",5,"[18, 22, 37, 47]",4,"[18, 22, 37, 47, 57]",5,"[18, 22, 37, 47]",4,"[18, 22, 37, 47, 57]",5,"[18, 22, 37, 47]",4,"[18, 22, 37, 47, 57]",5,"[18, 22, 37, 47]",4,"[18, 22, 37, 47, 57]",5,"[18, 22, 37, 47, 57]",5
