layer,head,patch_common_features_k5_s1.0_cls1,patch_count_k5_s1.0_cls1,cls_common_features_k5_s1.0_cls1,cls_count_k5_s1.0_cls1,patch_common_features_k5_s2.0_cls1,patch_count_k5_s2.0_cls1,cls_common_features_k5_s2.0_cls1,cls_count_k5_s2.0_cls1,patch_common_features_k5_s4.0_cls1,patch_count_k5_s4.0_cls1,cls_common_features_k5_s4.0_cls1,cls_count_k5_s4.0_cls1,patch_common_features_k5_s9.0_cls1,patch_count_k5_s9.0_cls1,cls_common_features_k5_s9.0_cls1,cls_count_k5_s9.0_cls1,patch_common_features_k7_s2.0_cls1,patch_count_k7_s2.0_cls1,cls_common_features_k7_s2.0_cls1,cls_count_k7_s2.0_cls1,patch_common_features_k7_s4.0_cls1,patch_count_k7_s4.0_cls1,cls_common_features_k7_s4.0_cls1,cls_count_k7_s4.0_cls1,patch_common_features_k7_s13.5_cls1,patch_count_k7_s13.5_cls1,cls_common_features_k7_s13.5_cls1,cls_count_k7_s13.5_cls1,patch_common_features_k7_s15.0_cls1,patch_count_k7_s15.0_cls1,cls_common_features_k7_s15.0_cls1,cls_count_k7_s15.0_cls1,patch_common_features_k11_s2.0_cls1,patch_count_k11_s2.0_cls1,cls_common_features_k11_s2.0_cls1,cls_count_k11_s2.0_cls1,patch_common_features_k11_s5.0_cls1,patch_count_k11_s5.0_cls1,cls_common_features_k11_s5.0_cls1,cls_count_k11_s5.0_cls1
10,8,"[6, 10]",2,"[29, 58]",2,"[6, 10, 47]",3,"[28, 47]",2,"[10, 49]",2,"[28, 60]",2,"[10, 49]",2,"[28, 60]",2,"[0, 6, 30, 47, 56]",5,"[0, 28, 47, 48]",4,"[0, 30, 47, 60]",4,"[0, 28, 47, 60]",4,"[10, 47, 60]",3,"[28, 60]",2,"[10, 47, 60]",3,"[28, 60]",2,"[0, 6, 30, 47, 56]",5,"[0, 30, 47, 48]",4,"[0, 6, 10, 30, 47, 60]",6,"[0, 28, 30, 60]",4
10,9,"[10, 16, 28, 34, 44, 55]",6,"[10, 16, 28, 55]",4,"[10, 28, 30, 34, 44, 55]",6,"[10, 16, 19, 28, 30, 55]",6,"[10, 28, 30, 34, 44]",5,"[10, 16, 19, 28, 30]",5,"[10, 28, 30, 34, 44]",5,"[16, 28, 30, 55]",4,"[10, 19, 28, 30, 44, 55]",6,"[10, 16, 19, 28]",4,"[10, 19, 28, 30, 34, 44]",6,"[10, 16, 19, 28, 30]",5,"[10, 19, 28, 30, 34, 44]",6,"[10, 16, 19, 28, 30]",5,"[10, 19, 28, 30, 34, 44]",6,"[10, 16, 19, 28, 30]",5,"[10, 19, 28, 30, 34, 44]",6,"[10, 16, 19, 28]",4,"[10, 28, 30, 34, 44]",5,"[10, 16, 28]",3
10,10,"[7, 27, 35, 44]",4,"[11, 27, 33, 44]",4,"[7, 20, 27, 35, 44]",5,"[11, 23, 27, 33, 35, 44]",6,"[7, 27, 35, 61]",4,"[11, 26, 27, 33, 35]",5,"[7, 27, 35, 61]",4,"[11, 26, 27, 33]",4,"[7, 20, 27, 35, 44, 48, 61]",7,"[11, 23, 27, 33, 44]",5,"[7, 27, 35, 61]",4,"[11, 23, 26, 27, 33, 35]",6,"[7, 27, 35, 61]",4,"[0, 11, 23, 26, 27, 33, 35]",7,"[7, 27, 35, 61]",4,"[0, 11, 23, 26, 27, 33, 35]",7,"[7, 20, 23, 27, 35, 48, 61]",7,"[11, 23, 27, 33]",4,"[7, 23, 35, 44, 48, 61]",6,"[10, 11, 23, 26, 33, 35]",6
10,11,"[49, 53]",2,"[7, 8, 24, 38]",4,"[49, 52, 53]",3,"[7, 24, 27, 38, 52, 53]",6,"[49, 53]",2,"[5, 7, 24, 38, 53]",5,"[49, 53]",2,"[5, 7, 24, 38, 53]",5,"[1, 52, 53]",3,"[38, 52, 53]",3,"[49, 52, 53]",3,"[5, 38, 53, 61]",4,"[49, 53]",2,"[38, 53, 61]",3,"[49, 53]",2,"[38, 53, 61]",3,"[1, 52, 53]",3,"[38, 52, 53]",3,"[48, 49, 50, 53]",4,"[5, 38, 53]",3
11,0,"[24, 25, 26, 30, 38, 46, 56]",7,"[5, 7, 33, 34, 39, 48, 51, 61]",8,"[24, 25, 26, 30, 38, 46, 56]",7,"[5, 7, 33, 34, 39, 48, 51, 53, 61]",9,"[24, 26, 30, 46, 56]",5,"[5, 7, 33, 34, 39, 48, 51, 53, 61]",9,"[24, 26, 30, 46, 49, 56]",6,"[5, 7, 33, 34, 39, 48, 51, 53, 61]",9,"[16, 24, 25, 26, 30, 46]",6,"[5, 7, 33, 34, 39, 48, 51, 53, 61]",9,"[24, 26, 30, 38, 43, 46, 56]",7,"[5, 7, 33, 34, 39, 48, 53, 61]",8,"[24, 26, 30, 38, 46, 56]",6,"[5, 7, 33, 34, 39, 48, 51, 53, 61]",9,"[24, 26, 30, 38, 46, 56]",6,"[5, 7, 33, 34, 39, 48, 51, 53, 61]",9,"[16, 24, 25, 26, 30, 38, 46]",7,"[5, 6, 7, 33, 34, 39, 51, 53, 61]",9,"[24, 26, 30, 38, 46]",5,"[5, 6, 33, 34, 39, 48, 53, 61]",8
11,1,"[7, 30, 47, 49, 51, 61]",6,"[21, 49, 51]",3,"[7, 30, 47, 49, 51, 61]",6,"[21, 47, 49]",3,"[7, 30, 47, 49, 51, 61]",6,"[19, 21, 47, 49]",4,"[7, 30, 47, 49, 51, 61]",6,"[19, 21, 49, 51]",4,"[7, 47, 51, 61]",4,"[7, 45, 47, 49, 51]",5,"[7, 47, 51]",3,"[47, 51]",2,"[7, 47, 51, 61]",4,[51],1,"[7, 47, 51, 61]",4,[51],1,"[7, 47, 51, 61]",4,"[42, 45, 47, 51]",4,"[7, 42, 47, 49, 51]",5,"[7, 42, 47, 51]",4
11,2,"[1, 18, 45, 46]",4,"[10, 45]",2,"[1, 17, 36, 45, 46]",5,"[7, 45]",2,"[1, 17, 18, 45, 46]",5,[45],1,"[1, 17, 18, 45, 46]",5,[45],1,"[1, 7, 24, 45, 46]",5,"[7, 45, 62]",3,"[1, 17, 18, 45, 46]",5,"[7, 45]",2,"[1, 17, 18, 45, 46]",5,[45],1,"[1, 17, 18, 45, 46]",5,[45],1,"[1, 7, 18, 24, 45, 46]",6,"[1, 7, 45, 62]",4,"[1, 17, 45, 46, 52]",5,"[45, 52]",2
11,3,"[5, 27, 50, 57, 59, 61]",6,"[14, 50, 54, 56, 60]",5,"[27, 50, 57, 59, 61]",5,"[14, 27, 50, 54, 56, 60]",6,"[27, 50, 57, 59, 61]",5,"[14, 27, 50, 56, 60]",5,"[5, 50, 57, 59, 61]",5,"[14, 27, 50, 56, 60]",5,"[50, 54, 56, 59, 61]",5,"[14, 27, 50, 54, 56, 60]",6,"[0, 14, 50, 54, 59, 61]",6,"[14, 50, 54, 56, 60]",5,"[0, 14, 50, 59, 61]",5,"[14, 27, 50, 54, 56, 60]",6,"[0, 14, 50, 59, 61]",5,"[14, 27, 50, 54, 56, 60]",6,"[5, 14, 50, 54, 56, 59, 61]",7,"[14, 27, 50, 54, 56, 60]",6,"[14, 54, 56, 59, 61]",5,"[14, 54, 56, 59, 60, 61]",6
11,4,"[2, 53, 61]",3,"[8, 19, 40, 53]",4,"[8, 53]",2,"[8, 19, 40, 53]",4,[53],1,"[8, 19, 40, 53]",4,[53],1,"[8, 40, 53]",3,"[2, 6, 8, 9, 19, 53]",6,"[8, 17, 19, 40, 53]",5,"[2, 6, 53]",3,"[8, 17, 19, 40, 53]",5,"[2, 6, 53]",3,"[8, 19, 40, 53]",4,"[2, 6, 53]",3,"[8, 19, 40, 53]",4,"[2, 6, 8, 9, 19]",5,"[8, 17, 19, 40, 53]",5,"[2, 6, 9, 61]",4,"[2, 6, 7, 19, 40, 53]",6
11,5,"[20, 32, 41, 46, 52]",5,"[20, 32, 41, 53]",4,"[20, 32, 41, 46]",4,"[14, 20, 32, 41, 53]",5,"[20, 32, 41, 46]",4,"[14, 20, 32, 41, 46, 53]",6,"[20, 32, 41, 46, 47]",5,"[20, 32, 41, 46, 53]",5,"[14, 19, 20, 32, 36, 41, 46]",7,"[14, 19, 20, 32, 41, 46, 53]",7,"[0, 14, 19, 20, 32, 36, 41, 46]",8,"[0, 19, 20, 41, 46, 53, 56]",7,"[0, 14, 19, 20, 32, 36, 41, 46]",8,"[0, 19, 20, 32, 41, 46, 53]",7,"[0, 14, 19, 20, 32, 36, 41, 46]",8,"[0, 19, 20, 32, 41, 46, 53]",7,"[14, 19, 20, 32, 36, 41, 46]",7,"[14, 19, 20, 32, 41, 46, 53, 56]",8,"[0, 14, 19, 20, 32, 36, 41, 46]",8,"[0, 14, 19, 32, 41, 46, 56]",7
11,6,"[3, 5, 15, 16]",4,"[16, 20, 55]",3,"[5, 16, 48, 58]",4,"[15, 16, 18, 55]",4,"[3, 5, 16, 53, 58]",5,"[16, 18, 38, 55]",4,"[5, 16, 48, 53, 58]",5,"[16, 18, 38, 55]",4,"[5, 15, 16, 18, 53, 58]",6,"[15, 18, 19]",3,"[5, 15, 16, 40, 53, 58]",6,"[3, 15, 55]",3,"[5, 15, 16, 40, 58]",5,"[3, 48, 55]",3,"[5, 15, 16, 40, 58]",5,"[3, 48, 55]",3,"[5, 15, 16, 18, 58]",5,"[15, 18, 19]",3,"[7, 15, 53, 58, 59]",5,"[2, 15, 16, 18, 59]",5
11,7,"[2, 9, 31, 37]",4,[31],1,"[2, 31]",2,"[6, 14, 26, 31, 49]",5,"[2, 9, 31]",3,"[26, 31]",2,"[3, 9, 31]",3,"[26, 31]",2,"[3, 14, 24, 26, 31, 49]",6,"[6, 14, 24, 26, 31, 49]",6,"[3, 26, 31]",3,"[14, 26, 31, 49]",4,"[3, 26, 30, 31]",4,"[14, 26, 31]",3,"[3, 26, 30, 31]",4,"[14, 26, 31]",3,"[3, 14, 24, 26, 31, 49]",6,"[6, 14, 24, 26, 31, 49]",6,"[3, 6, 26, 31, 49]",5,"[3, 6, 26, 31, 49, 55]",6
11,8,"[18, 37, 38, 55, 59]",5,"[18, 22, 38, 45, 55, 62]",6,"[18, 37, 38, 55, 59]",5,"[18, 22, 38, 42, 45, 55, 62]",7,"[18, 37, 38, 42, 55, 59]",6,"[18, 22, 38, 42, 45, 55, 62]",7,"[18, 37, 38, 42, 55, 59]",6,"[18, 22, 38, 42, 45, 55, 62]",7,"[18, 28, 37, 38, 42, 55, 59]",7,"[18, 22, 38, 42, 62]",5,"[18, 38, 42, 55, 59]",5,"[18, 22, 38, 42, 45, 62]",6,"[18, 37, 38, 42, 55, 59]",6,"[18, 22, 38, 42, 51, 52, 62]",7,"[18, 37, 38, 42, 55, 59]",6,"[18, 22, 38, 42, 51, 52, 62]",7,"[18, 37, 38, 42, 59]",5,"[18, 22, 38, 42, 62]",5,"[18, 38, 42, 59]",4,"[18, 22, 38, 42, 51, 52, 62]",7
11,9,"[14, 16, 26, 37, 38, 52]",6,"[5, 12, 13, 14, 26, 42]",6,"[14, 16, 26, 37, 38]",5,"[12, 13, 14, 26, 42]",5,"[14, 16, 26, 37, 38]",5,"[12, 13, 14, 26, 42]",5,"[14, 16, 26, 37, 38]",5,"[12, 13, 14, 26, 42]",5,"[0, 14, 16, 37, 38]",5,"[0, 12, 14, 26, 63]",5,"[0, 14, 16, 38]",4,"[0, 5, 12, 13, 14, 26, 42]",7,"[14, 16, 26, 38]",4,"[0, 5, 12, 13, 14, 26, 42]",7,"[14, 16, 26, 38]",4,"[0, 5, 12, 13, 14, 26, 42]",7,"[0, 14, 16, 17, 38]",5,"[0, 12, 14, 26, 42]",5,"[0, 14, 17, 59]",4,"[5, 12, 14, 42, 59]",5
11,10,"[14, 19, 53, 54]",4,"[14, 15, 19, 29, 39]",5,"[14, 19, 46]",3,"[14, 15, 19, 29, 39, 60]",6,"[14, 19, 46, 53]",4,"[14, 15, 19, 29, 39, 46, 60]",7,"[14, 19, 46, 53]",4,"[14, 15, 19, 29, 39, 46]",6,"[14, 19, 27, 46]",4,"[14, 19, 29, 39, 60]",5,"[14, 19, 46]",3,"[14, 19, 29, 39, 46]",5,"[14, 19, 46]",3,"[14, 19, 29, 39, 46]",5,"[14, 19, 46]",3,"[14, 19, 29, 39, 46]",5,"[14, 19, 27, 46, 57]",5,"[14, 19, 29, 39]",4,"[14, 19, 27, 46, 57]",5,"[14, 19, 29, 39, 46]",5
11,11,"[14, 21, 41, 50, 57, 59]",6,"[35, 41, 50]",3,"[14, 19, 21, 41, 57, 59]",6,"[9, 35, 41, 50]",4,"[19, 21, 35, 41, 57, 59]",6,"[35, 41, 50]",3,"[19, 21, 35, 57, 59]",5,"[35, 41, 50]",3,"[7, 17, 19, 21, 57]",5,"[9, 19, 21, 30, 35, 41]",6,"[19, 21, 35, 57]",4,"[19, 35]",2,"[7, 19, 35, 57]",4,"[19, 35]",2,"[7, 19, 35, 57]",4,"[19, 35]",2,"[7, 19, 21, 57]",4,"[9, 19, 30, 35]",4,"[0, 7, 19, 21, 57]",5,"[19, 35, 57]",3
