class_id,img_idx,occlusion_level,cos_sim,clean_mag,occ_mag,mag_diff
235,0,0,0.8789670467376709,56.88876,65.412056,8.523296
235,1,0,0.8497195243835449,60.069027,56.01735,4.0516777
235,2,0,0.7288505434989929,49.951733,56.30268,6.3509483
235,3,0,0.8289610147476196,49.8669,61.08531,11.2184105
235,4,0,0.8841699361801147,58.653744,53.745064,4.90868
235,5,0,0.8599966764450073,51.89902,55.75762,3.8586006
235,6,0,0.9247736930847168,56.70776,68.34675,11.6389885
235,7,0,0.8770828247070312,58.777252,47.239193,11.538059
235,8,0,0.825515866279602,61.25714,49.451775,11.8053665
235,9,0,0.8765535354614258,58.55376,55.463062,3.0906982
235,10,0,0.8800398111343384,56.206833,49.66267,6.5441628
235,11,0,0.8590250611305237,56.98961,63.9909,7.0012894
235,12,0,0.9061313271522522,57.387165,59.427917,2.0407524
235,13,0,0.7673550844192505,54.446163,50.19028,4.2558823
235,14,0,0.8817275762557983,57.873375,57.303925,0.5694504
235,15,0,0.8103150129318237,65.40108,51.503963,13.897114
235,16,0,0.7081278562545776,51.927757,57.191727,5.2639694
235,17,0,0.9160118699073792,62.182415,58.2502,3.9322166
235,18,0,0.7073796987533569,53.22702,49.029484,4.1975365
235,19,0,0.919599175453186,68.11534,57.26472,10.85062
235,20,0,0.8807953000068665,52.98418,50.52411,2.4600716
235,21,0,0.8259466290473938,51.55202,51.0794,0.47262192
235,22,0,0.8990870714187622,58.672054,60.49208,1.8200264
235,23,0,0.8748010396957397,58.8091,51.77186,7.037243
235,24,0,0.6954463720321655,40.209484,57.551838,17.342354
235,25,0,0.6623082160949707,63.768368,50.216656,13.551712
235,26,0,0.9064595699310303,61.712784,48.97497,12.737812
235,27,0,0.8885678052902222,57.78585,58.78449,0.99863815
235,28,0,0.8555089831352234,47.29136,57.407932,10.116573
235,29,0,0.7558754682540894,44.510868,45.89576,1.3848915
235,30,0,0.8913713693618774,48.103413,44.282955,3.8204575
235,31,0,0.880180835723877,56.9142,51.644146,5.270054
235,32,0,0.7884565591812134,51.775818,55.778763,4.002945
235,33,0,0.7213170528411865,51.153194,52.208313,1.0551186
235,34,0,0.8038668632507324,51.87734,58.287807,6.410469
235,35,0,0.8267629146575928,53.550236,61.95857,8.408333
235,36,0,0.8960577249526978,49.972507,52.30246,2.3299522
235,37,0,0.8811194896697998,52.80172,61.585617,8.783897
235,38,0,0.8363661170005798,53.13188,60.211506,7.079624
235,39,0,0.8596681356430054,58.34427,51.413166,6.9311028
235,40,0,0.9189141988754272,54.056072,58.75777,4.7016983
235,41,0,0.8380323648452759,51.555656,73.58929,22.03363
235,42,0,0.7725040316581726,53.750576,51.45321,2.297367
235,43,0,0.6442277431488037,62.81697,40.16974,22.647232
235,44,0,0.8010705709457397,63.57467,54.171223,9.403446
235,45,0,0.8846126794815063,53.48503,53.931145,0.4461136
235,46,0,0.9423388242721558,69.13949,67.1912,1.948288
235,47,0,0.9996671676635742,57.872383,57.512722,0.3596611
235,48,0,0.7574368715286255,74.27232,49.741573,24.53075
235,49,0,0.9102715253829956,60.968304,56.336277,4.6320267
98,0,0,0.9284383058547974,67.1964,69.88957,2.6931686
98,1,0,0.9279099702835083,68.46778,73.0953,4.6275177
98,2,0,0.8405559062957764,54.28136,81.29212,27.010761
98,3,0,0.9261196851730347,66.184654,80.1487,13.964043
98,4,0,0.9209427237510681,70.444954,74.66804,4.2230835
98,5,0,0.9694386720657349,70.57329,69.25875,1.314537
98,6,0,0.9338878393173218,76.6348,74.82536,1.8094406
98,7,0,0.955643892288208,74.23392,79.66941,5.4354935
98,8,0,0.9063167572021484,64.06676,85.9742,21.90744
98,9,0,0.9524071216583252,72.01656,75.94341,3.9268494
98,10,0,0.6925392746925354,85.332825,52.365475,32.96735
98,11,0,0.9523306488990784,72.64061,75.43689,2.79628
98,12,0,0.9690561890602112,79.99109,88.18846,8.197372
98,13,0,0.8104984760284424,74.89864,52.69852,22.200123
98,14,0,0.8894091844558716,72.74657,73.42475,0.6781845
98,15,0,0.906471848487854,77.35429,67.328514,10.025772
98,16,0,0.9427378177642822,81.34167,83.32615,1.9844818
98,17,0,0.9613117575645447,74.52733,69.816414,4.7109146
98,18,0,0.9117494821548462,62.42913,66.524055,4.094925
98,19,0,0.9997283220291138,76.41568,76.01998,0.39569855
98,20,0,0.9658127427101135,85.14623,71.94653,13.199699
98,21,0,0.8755416870117188,63.772297,64.02525,0.2529564
98,22,0,0.9412137269973755,68.169106,72.75685,4.5877457
98,23,0,0.8984380960464478,63.721535,67.82959,4.108055
98,24,0,0.8928954005241394,80.139565,62.720257,17.419308
98,25,0,0.8168284296989441,67.92239,67.37605,0.54634094
98,26,0,0.9425760507583618,76.061195,67.47315,8.588043
98,27,0,0.7744477987289429,61.157562,83.6621,22.50454
98,28,0,0.9591231346130371,75.62361,79.72206,4.0984497
98,29,0,0.8359900712966919,67.10091,62.745594,4.3553123
98,30,0,0.893276572227478,76.84527,62.688114,14.157154
98,31,0,0.9672629237174988,84.95254,80.65235,4.300186
98,32,0,0.950973629951477,80.79921,75.62868,5.170532
98,33,0,0.9536389112472534,67.07805,69.69766,2.6196136
98,34,0,0.9019141793251038,80.40906,69.6506,10.758461
98,35,0,0.8727705478668213,76.17822,61.35574,14.822483
98,36,0,0.8247793912887573,66.84333,75.39265,8.549316
98,37,0,0.8890626430511475,86.30393,67.1703,19.133629
98,38,0,0.9386907815933228,75.6711,74.03953,1.6315689
98,39,0,0.9511237144470215,75.81227,78.41006,2.597786
98,40,0,0.9082381725311279,64.585236,76.116974,11.531738
98,41,0,0.9429623484611511,85.03837,84.93932,0.0990448
98,42,0,0.7576831579208374,53.80001,71.21405,17.41404
98,43,0,0.9310007095336914,64.744965,72.08635,7.341385
98,44,0,0.9068560600280762,88.344444,62.0847,26.259743
98,45,0,0.9997814893722534,80.47887,80.09334,0.38552856
98,46,0,0.7658270597457886,72.92324,52.804783,20.118458
98,47,0,0.7535529732704163,56.1182,76.76279,20.644588
98,48,0,0.9374958872795105,76.27557,70.24101,6.034561
98,49,0,0.7842935919761658,69.54006,59.10041,10.4396515
237,0,0,0.8481379747390747,64.546585,58.38357,6.1630135
237,1,0,0.9997050762176514,53.308243,53.08643,0.2218132
237,2,0,0.33123061060905457,43.3951,48.337917,4.9428177
237,3,0,0.7699819207191467,43.44087,47.7232,4.2823334
237,4,0,0.855136513710022,52.88262,66.39941,13.516785
237,5,0,0.7929182052612305,54.02422,55.45815,1.4339294
237,6,0,0.6805675029754639,54.214985,66.12508,11.910091
237,7,0,0.5865018367767334,65.861275,42.961952,22.899323
237,8,0,0.8656516075134277,59.82687,63.2966,3.4697304
237,9,0,0.7333447933197021,67.024445,47.648594,19.37585
237,10,0,0.8880215883255005,55.493538,57.288475,1.7949371
237,11,0,0.7580206990242004,58.257236,42.991898,15.265339
237,12,0,0.813618540763855,51.633343,55.787563,4.1542206
237,13,0,0.8989145755767822,61.039783,64.49666,3.4568748
237,14,0,0.904313325881958,66.49669,56.022728,10.473961
237,15,0,0.7518255710601807,48.758587,62.4389,13.680313
237,16,0,0.8612567186355591,65.432785,56.923416,8.509369
237,17,0,0.8623734712600708,69.07281,58.724308,10.348499
237,18,0,0.8442589044570923,64.78659,59.40917,5.3774223
237,19,0,0.5130096673965454,50.87308,63.480297,12.607216
237,20,0,0.9225374460220337,58.000282,70.23527,12.234985
237,21,0,0.832796037197113,59.956593,57.024357,2.9322357
237,22,0,0.5804992318153381,43.03797,53.347073,10.309101
237,23,0,0.8777116537094116,62.776447,49.483025,13.293423
237,24,0,0.8237615823745728,58.620525,51.735542,6.884983
237,25,0,0.7518131136894226,58.4353,50.967213,7.4680862
237,26,0,0.8500446081161499,66.22423,55.540424,10.683804
237,27,0,0.7860089540481567,53.46703,63.36492,9.897892
237,28,0,0.866591215133667,59.25343,60.656994,1.4035645
237,29,0,0.8861856460571289,57.98812,63.108063,5.1199417
237,30,0,0.7960864901542664,56.22255,57.145374,0.92282486
237,31,0,0.7257527709007263,56.957695,52.88275,4.0749435
237,32,0,0.896310567855835,62.63156,54.437885,8.193676
237,33,0,0.5902292132377625,57.95713,47.97107,9.986061
237,34,0,0.8112117052078247,57.05581,65.00384,7.9480286
237,35,0,0.9043121933937073,58.144154,57.339493,0.8046608
237,36,0,0.5862419605255127,42.926266,59.730957,16.804691
237,37,0,0.8129708766937256,53.51153,52.765476,0.7460556
237,38,0,0.9989854097366333,63.88025,61.328472,2.551777
237,39,0,0.7691324949264526,48.578594,56.063126,7.4845314
237,40,0,0.6445156335830688,48.810783,54.099316,5.2885323
237,41,0,0.7987076044082642,71.01766,57.300133,13.717529
237,42,0,0.22747668623924255,41.293682,69.85766,28.563976
237,43,0,0.5227959752082825,57.34316,50.67031,6.6728477
237,44,0,0.32405078411102295,57.11485,43.550842,13.564007
237,45,0,0.629245936870575,61.260933,42.073063,19.18787
237,46,0,0.595634937286377,47.68151,52.776546,5.0950356
237,47,0,0.8657524585723877,55.69444,58.03428,2.33984
237,48,0,0.21473628282546997,63.041256,41.207203,21.834053
237,49,0,0.8805090188980103,49.989544,61.20692,11.217377
229,0,0,0.9165804982185364,82.235634,75.32581,6.9098206
229,1,0,0.9426864385604858,62.068226,70.97361,8.905384
229,2,0,0.7724901437759399,54.187656,63.370632,9.182976
229,3,0,0.9660196304321289,76.5994,70.32853,6.270874
229,4,0,0.9080377817153931,74.493904,63.79307,10.700832
229,5,0,0.9360717535018921,69.77235,72.003426,2.231079
229,6,0,0.9218413829803467,62.47393,66.38391,3.9099808
229,7,0,0.905067503452301,76.562,61.316895,15.245102
229,8,0,0.8669292330741882,56.768955,72.34441,15.575459
229,9,0,0.9352396726608276,65.23679,63.329117,1.9076767
229,10,0,0.9262665510177612,75.552956,70.41828,5.134674
229,11,0,0.9138116836547852,70.36961,66.29196,4.077652
229,12,0,0.8207741975784302,72.05577,49.32462,22.731152
229,13,0,0.7799038887023926,49.420372,67.561844,18.141472
229,14,0,0.8781293630599976,78.24399,58.673885,19.570103
229,15,0,0.7639032602310181,55.61512,62.596928,6.9818077
229,16,0,0.9130133986473083,63.00232,68.80067,5.7983475
229,17,0,0.9348593354225159,73.63694,76.83342,3.1964798
229,18,0,0.8494731187820435,70.5488,49.461506,21.087292
229,19,0,0.8035931587219238,62.754333,75.65729,12.902954
229,20,0,0.8668984174728394,56.92932,77.38471,20.45539
229,21,0,0.8319616317749023,70.84424,52.40832,18.435917
229,22,0,0.8959838151931763,66.830986,55.696274,11.134712
229,23,0,0.8582565188407898,61.902405,56.8411,5.061306
229,24,0,0.8912039995193481,60.244324,65.34496,5.1006393
229,25,0,0.8548260927200317,66.34901,56.811104,9.537903
229,26,0,0.9198572635650635,56.504726,70.29404,13.78931
229,27,0,0.9154001474380493,68.18039,69.33187,1.1514816
229,28,0,0.841717004776001,52.20479,60.73076,8.52597
229,29,0,0.9077983498573303,75.39158,62.027134,13.364445
229,30,0,0.9257404208183289,71.31418,82.29427,10.980095
229,31,0,0.8517811298370361,50.88619,73.70268,22.816494
229,32,0,0.8796372413635254,63.46662,78.663704,15.1970825
229,33,0,0.9363464117050171,66.27631,64.74217,1.5341415
229,34,0,0.8078083992004395,58.4778,68.90141,10.4236145
229,35,0,0.8686302304267883,63.802143,60.253162,3.5489807
229,36,0,0.785245418548584,71.14437,48.570957,22.573414
229,37,0,0.8555511236190796,49.58805,74.64858,25.060532
229,38,0,0.906486451625824,61.903946,78.28937,16.385422
229,39,0,0.7942428588867188,49.01642,60.86306,11.846642
229,40,0,0.8997268676757812,63.349274,61.40727,1.9420052
229,41,0,0.8946857452392578,61.6023,71.49774,9.895443
229,42,0,0.8071557283401489,63.958958,58.25094,5.7080193
229,43,0,0.8968783617019653,78.83605,57.164642,21.67141
229,44,0,0.8420201539993286,69.45658,60.997677,8.458904
229,45,0,0.7789004445075989,78.04045,49.532017,28.508434
229,46,0,0.7976948022842407,62.190624,54.21416,7.9764633
229,47,0,0.7774173617362976,64.54569,52.393658,12.152035
229,48,0,0.8678416013717651,60.948444,68.69265,7.7442055
229,49,0,0.8930115699768066,79.87378,61.77516,18.098618
417,0,0,0.9125664234161377,61.41325,77.4619,16.048649
417,1,0,0.7644736766815186,75.4356,49.463192,25.972408
417,2,0,0.880609929561615,62.40872,68.611115,6.2023964
417,3,0,0.9258232712745667,79.1138,62.463375,16.650425
417,4,0,0.9282026290893555,75.48539,65.42151,10.063881
417,5,0,0.8448015451431274,58.486935,46.663322,11.823612
417,6,0,0.8263182044029236,61.91593,55.41389,6.502041
417,7,0,0.9318796396255493,78.52925,60.977566,17.551685
417,8,0,0.9162743091583252,76.06627,73.04406,3.0222092
417,9,0,0.7928338050842285,58.378708,73.33424,14.955536
417,10,0,0.8910473585128784,76.5249,60.882164,15.642738
417,11,0,0.9560350179672241,69.89985,81.98289,12.083038
417,12,0,0.9676014184951782,73.02805,73.44139,0.4133377
417,13,0,0.9349325299263,79.49882,74.61103,4.887787
417,14,0,0.778384268283844,58.427853,86.43531,28.007458
417,15,0,0.9562490582466125,81.0773,76.33435,4.7429504
417,16,0,0.9604254364967346,70.30739,76.78366,6.4762726
417,17,0,0.7634590864181519,73.72425,56.69622,17.02803
417,18,0,0.9874170422554016,87.552864,86.504456,1.0484085
417,19,0,0.9484117031097412,86.32289,82.852066,3.4708252
417,20,0,0.9727342128753662,80.71351,74.256615,6.456894
417,21,0,0.9189592599868774,74.16131,79.25908,5.0977707
417,22,0,0.9531607031822205,75.84175,73.28744,2.5543137
417,23,0,0.9457632303237915,83.455894,79.93831,3.5175858
417,24,0,0.9207954406738281,68.172356,58.31443,9.857925
417,25,0,0.9256471991539001,88.0271,71.116875,16.910225
417,26,0,0.8374029397964478,47.9957,86.62094,38.62524
417,27,0,0.7823799848556519,55.897068,53.904358,1.9927101
417,28,0,0.9419387578964233,73.798256,74.64101,0.84275055
417,29,0,0.9016522169113159,76.71115,66.66437,10.046783
417,30,0,0.951011061668396,80.98217,81.54117,0.5589981
417,31,0,0.9397029876708984,72.94968,84.21692,11.267242
417,32,0,0.871518075466156,69.904526,51.42422,18.480305
417,33,0,0.7940634489059448,54.50451,75.83088,21.32637
417,34,0,0.9584916830062866,69.94237,75.68027,5.7379
417,35,0,0.9595240950584412,72.980255,84.5737,11.593445
